Dates,BO1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,52.09,0.0284304047384005,0.0063351890957956,0.0284304047384005,-0.252599827603186,0.0583108648531846,0.293746472525611,-46858,-0.564445276016155,0.9914246735529135,-0.008612306119199914
2012-01-31,50.87,-0.118981641842744,0.0086494987222332,-0.118981641842744,-1.08842210865722,0.0583108648531846,0.31075633034782,53085,-0.511571896220313,1.0190930787589498,0.018913093306486776
2012-02-29,54.09,-0.0654803040774018,0.0070253281567755,-0.0654803040774018,-0.975294549364113,0.0585447926385547,0.247296222606987,-23038,-0.562674784941513,0.9926139434336156,-0.007413468543201041
2012-03-30,55.1,-0.0294169455698433,0.0074410163339382,-0.0294169455698433,-1.10465737755551,0.0584725643768745,0.240134404682952,60221,-0.510573588580545,0.8977293369663942,-0.10788666260822491
2012-04-30,54.66,-0.0596937897815242,0.0071350164654227,-0.0596937897815242,-1.00103132023843,0.0584725643768745,0.273089896129269,1401,-0.502556052921598,0.9955483609874545,-0.004461577062201583
2012-05-31,49.2,-0.153621193875796,0.004471544715447,-0.153621193875796,-0.72950803238673,0.0625221575423471,0.512207281421482,31397,-0.334104809794248,1.0074441687344913,0.007416597655049619
2012-06-29,52.21,-0.107368780988203,0.0034476153993487,-0.107368780988203,-0.709994351082816,0.0609498351905678,0.434632617556315,-50174,-0.379283375387143,0.9956422887457369,-0.004367233752217997
2012-07-31,52.55,-0.0557053009883199,0.0043767840152235,-0.0557053009883199,-0.865964277404006,0.0609498351905678,0.307065938980062,-19753,-0.307974902582856,0.9959399823477494,-0.004068281900165045
2012-08-31,56.42,0.0138364779874214,0.0040765685926975,0.0138364779874214,-0.906592994095738,0.0620112778600513,0.273070417904986,8631,-0.304575620252965,0.9908849221420434,-0.009156874359580888
2012-09-28,52.18,-0.108795900939368,0.0091989267918741,-0.108795900939368,-0.591074198401333,0.0615814153954292,0.331268305497695,-44369,-0.203960672008591,0.9926776172570749,-0.007349322979152033
2012-10-31,50.16,0.0042042042042038,0.0073763955342902,0.0042042042042038,-0.295142551548179,0.0615814153954292,0.392213401486297,43323,-0.104631491257728,0.9991958182549256,-0.0008045052726755286
2012-11-30,49.41,-0.0343951534102016,0.0066788099574985,-0.0343951534102016,-0.154113283210554,0.0597640019222249,0.408982205632222,-15162,-0.0430572476246524,0.9891348088531186,-0.010924648404749132
2012-12-31,49.16,-0.0562488001535804,0.0109845402766477,-0.0562488001535804,-0.151867643785247,0.0593031861255872,0.538796617599028,-13216,0.0317656496219504,0.992117117117117,-0.007914117055990643
2013-01-31,52.86,0.01478210789019,0.0079455164585697,0.01478210789019,-0.208825972585459,0.058750725121099,0.308559702817562,20394,-0.0294764400232301,1.0250407166123778,0.024732335325684262
2013-02-28,48.82,-0.0402988008649499,0.0061450225317492,-0.0402988008649499,-0.154195310816917,0.0464704655527633,0.490737093968611,-5474,0.0718155942186349,0.9952333664349553,-0.004778030192938031
2013-03-29,50.11,-0.0735810685893882,0.0047894631810019,-0.0735810685893882,-0.141739286967384,0.0427877305003096,0.4499495184336,10759,0.0961328241658586,0.9829337667614791,-0.017213539781028537
2013-04-30,49.13,-0.108348457350272,0.0018318746183594,-0.108348457350272,-0.0068198680178829,0.0517951555501581,0.441246568639048,7435,0.0988719754251339,1.0,0.0
2013-05-31,48.38,-0.114892060007318,0.0,-0.114892060007318,0.0203254242679346,0.0499937151460927,0.476516789724848,37837,0.0702322849899618,0.9131561892417369,-0.09084834046448058
2013-06-28,46.42,-0.0565040650406501,-0.0028005170185265,-0.0565040650406501,0.216475210378448,0.0499937151460927,0.50726704002356,-38115,0.121589591024014,0.9957416607523066,-0.004267431796219244
2013-07-31,42.09,-0.193832599118943,0.0042765502494654,-0.193832599118943,0.303916043370719,0.0499937151460927,1.14110711997856,-4672,0.166395937324102,0.9981805776665909,-0.0018210794925761248
2013-08-30,43.89,-0.164795432921028,0.0018227386648439,-0.164795432921028,0.214565072937824,0.0710864918946184,0.857312375449435,-50664,0.0884883398524361,0.9934306569343065,-0.006591016170704553
2013-09-30,40.83,-0.217516289766194,0.0066127847171197,-0.217516289766194,0.290641861565964,0.0710864918946184,1.40106420041734,22255,0.125022665438282,0.992793658419409,-0.0072324326832431274
2013-10-31,41.33,-0.207934074357991,0.0072586498911204,-0.207934074357991,0.173917534996303,0.0707025164873354,1.0244110612912,20225,0.0653420006772443,0.967128027681661,-0.03342439551727826
2013-11-29,40.22,-0.198165869218501,0.0059671805072103,-0.198165869218501,0.131769355170133,0.0389741294473996,0.836289350104732,11487,0.0595642777919459,0.9920776897521083,-0.007953858481456952
2013-12-31,38.82,-0.214329083181542,0.0079855744461618,-0.214329083181542,0.212226321321218,0.0389741294473996,0.583144600883625,2792,0.0464605679042925,0.9923543369364619,-0.007675040983628675
2014-01-31,37.64,-0.23433685923515,0.0077045696068012,-0.23433685923515,0.321464464263721,0.0373451938019185,0.260836412942479,35798,0.0169406280280487,0.9722421631969371,-0.028150366460188585
2014-02-28,41.52,-0.214528944381385,0.0065028901734103,-0.214528944381385,0.63191192440593,0.0356434085497112,0.402275296121605,-74094,-0.12562621311741,0.9948314053654934,-0.005181998024160491
