Dates,HO1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,293.5,0.26677888557987,-0.0070868824531515,0.26677888557987,-0.34925916931125,0.0675382398265348,0.343496868867611,-1176,-0.475696648220011,1.0039004883804779,0.003892901198418903
2012-01-31,306.28,0.204072807327908,-0.0038853336815984,0.204072807327908,-0.402571933128591,0.0675382398265348,0.235731306686946,5809,-0.512607884339646,0.9944165444960853,-0.005599101257019529
2012-02-29,318.8,0.160623270715014,0.0056148055207025,0.160623270715014,-0.421178421661157,0.0676646565166661,0.172251081867867,12401,-0.55875485584166,0.9994637393142172,-0.000536404524970221
2012-03-30,316.84,0.0829174926515825,0.0005365484156041,0.0829174926515825,-0.262485682847705,0.0662472985238159,0.174335147876369,-5225,-0.52369849212623,0.9997487595000313,-0.00025127206615037747
2012-04-30,318.34,-0.022237238159592,0.0002513036376203,-0.022237238159592,-0.0121811240208079,0.0662472985238159,0.183900740547879,20616,-0.528421571531859,1.0011097957975732,0.0011091804294635897
2012-05-31,270.62,-0.168806437741876,-0.001108565516222,-0.168806437741876,-0.459949225769631,0.0734434069421827,0.260396506915006,15800,-0.303506562539694,0.9948706594339275,-0.0051425407917098315
2012-06-29,269.6,-0.117887641919968,0.0051557863501483,-0.117887641919968,-0.65669635704429,0.0755371391568793,0.26258746488961,190,-0.292064394079056,0.9977879213483146,-0.0022145289117782505
2012-07-31,284.17,-0.0821975324591435,0.0022169827919906,-0.0821975324591435,-0.75783192498347,0.0755371391568793,0.260055789950524,-15504,-0.286516061928384,0.9966668762970881,-0.003338690934010275
2012-08-31,316.96,0.0237064789096311,0.0033442705704189,0.0237064789096311,-0.523543379915132,0.0785950892672176,0.245828534794036,25766,-0.353883054110981,1.003228665484933,0.0032234645362682773
2012-09-28,316.94,0.0296277045026319,-0.0032182747523189,0.0296277045026319,-0.541881068653293,0.0784082403184324,0.242278210086771,-7811,-0.337307654162854,1.0019266564347058,0.0019248028126771079
2012-10-31,306.82,0.0978245312723631,-0.0019229515676942,0.0978245312723631,-0.63884802723344,0.0784082403184324,0.299673412047763,-24553,-0.236357690412594,0.9936615806841572,-0.006358592384311028
2012-11-30,304.13,-0.0005258141904103,0.0063788511491795,-0.0005258141904103,-0.620910473026341,0.0755159185683994,0.305660131079373,4352,-0.173579725969766,1.0043868329045451,0.004377238801330633
2012-12-31,304.51,0.0375127768313464,-0.0043676726544283,0.0375127768313464,-0.745284069647538,0.0851992860268813,0.316771068136248,-38182,-0.0951377865338028,1.0035591752973996,0.0035528564218859555
2013-01-31,312.98,0.0663713798977859,-0.0035465524953671,0.0663713798977859,-0.847524515682572,0.0849401965474996,0.246298364295928,51163,-0.104131297448391,1.003918521771442,0.0039108643623030695
2013-02-28,297.19,-0.0296787253493533,-0.0039032268918873,-0.0296787253493533,-0.563471586947795,0.0773474293418449,0.312006108141108,-24530,-0.0313041303114151,0.9567443386937972,-0.04421907192006988
2013-03-29,291.52,-0.0855708908406525,0.0452113062568607,-0.0855708908406525,-0.410264083425337,0.0759283085043817,0.327683161376905,-5673,0.0426813565422343,1.011938301169179,0.011867601782565561
2013-04-30,287.35,-0.0930753692715561,-0.0117974595441102,-0.0930753692715561,-0.38050493269927,0.0744528932570755,0.396788096144708,19275,0.0521816242576511,1.0038469835334722,0.0038396028152638986
2013-05-31,279.21,-0.122918891750958,-0.0038322409655814,-0.122918891750958,-0.26393230728596,0.0741708498030499,0.519442291271347,-10666,0.0326322407029825,1.0073457394711067,0.007318890928346272
2013-06-28,287.98,0.0641489912053808,-0.0072921730675742,0.0641489912053808,1.09847039845726,0.0741708498030499,0.272645470724517,-10329,0.011911665910613,0.9961047463175123,-0.0039028599417443932
2013-07-31,304.31,0.128746290801188,0.0039104860175478,0.128746290801188,0.778697013821577,0.0741708498030499,0.261270296145282,-5230,-0.117155077869382,1.0009245680035705,0.0009241408538396412
2013-08-30,313.95,0.104796424675371,-0.0009237139671921,0.104796424675371,0.89643432770084,0.0999807432359009,0.244957277452252,9914,-0.185061165555649,0.9998317348140672,-0.00016827934410746485
2013-09-30,297.1,-0.062598599103931,0.0001682935038704,-0.062598599103931,0.220831893101259,0.0999807432359009,0.267806322643115,-18416,-0.137288984481961,1.004705643386709,0.004694606457227018
2013-10-31,296.78,-0.0636082539281881,-0.004683604016443,-0.0636082539281881,0.208453270261138,0.0998139589674366,0.317940239243665,10158,-0.228905113577057,1.0056090801108617,0.00559340779854193
2013-11-29,304.78,-0.0066488494882993,-0.0055777938184919,-0.0066488494882993,-0.0616099888689261,0.0653104735962619,0.295511202488378,7893,-0.306821843471254,1.00391491582931,0.003907272488530598
2013-12-31,307.72,0.0118041626935852,-0.0038996490315873,0.0118041626935852,-0.175210992816719,0.0653104735962619,0.321645525838296,-7209,-0.385351821741053,1.0941910513496378,0.09001532435572723
