Dates,SI1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,27.915,-0.0095795635976582,0.0016120365394949,-0.0095795635976582,-0.15329547399174,0.0613276054631147,0.429251392083267,7601,-0.781156338378495,1.0407371775599783,0.039929286632692136
2012-01-31,33.262,0.0751527297410863,0.0017136672479105,0.0751527297410863,-0.18091550016499,0.0613276054631147,0.450309088918284,-3922,-0.943349516573156,0.9383828754658117,-0.06359723046047583
2012-02-29,34.583,0.227697113848557,0.0017060405401498,0.227697113848557,-0.330140781158661,0.0614453112128634,0.450889073119213,13080,-0.972182324629857,1.0,0.0
2012-03-30,32.484,-0.0390486332978344,0.0018470631695601,-0.0390486332978344,-0.128097666845976,0.0612132004447812,0.480884570104076,-5134,-0.899786158670039,0.8957627392132186,-0.11007970105816019
2012-04-30,30.959,-0.362773752675778,0.0018411447398172,-0.362773752675778,-0.079888932510349,0.0612132004447812,0.501229726316463,2260,-0.85170224670815,1.0,0.0
2012-05-31,27.757,-0.428680223942038,0.0019814821486472,-0.428680223942038,0.0222589102698547,0.0654880639071071,0.633745234517018,6149,-0.725659172596722,1.0118167319124256,0.011747459517407665
2012-06-29,27.58,-0.279989557499021,0.0011602610587382,-0.279989557499021,-0.110037314932822,0.0668612276656073,0.63913472985503,5863,-0.722308913952196,1.0,0.0
2012-07-31,27.914,-0.303994414800778,0.00286594540374,-0.303994414800778,-0.202198318894343,0.0668612276656073,0.521253759203352,-2156,-0.70276665968512,1.1005383708706318,0.09579948813768538
2012-08-31,31.37,-0.2178227696604,0.0022951864839018,-0.2178227696604,-0.309224197568192,0.0708933315209742,0.483202848116296,-4263,-0.785366582536358,1.0008683822039541,0.0008680053782647625
2012-09-28,34.577,-0.170795462720928,0.0022558348034822,-0.170795462720928,-0.342962239564098,0.0691796709225039,0.472097816399908,19856,-0.881519920943292,1.0282522589429384,0.027860525007032014
2012-10-31,32.316,0.0742279692849785,0.002320831786112,0.0742279692849785,0.276363224202146,0.0691796709225039,0.549310773264587,1841,-0.78195451310484,0.9087844954708237,-0.09564729160221629
2012-11-30,33.204,-0.033474995633696,0.002258764004337,-0.033474995633696,0.402784962436563,0.0648687823400922,0.533489404360795,6317,-0.79142525859406,1.000960328498576,0.0009598676781657637
2012-12-31,30.227,0.082822855095827,0.0017203162735302,0.082822855095827,0.512718563475601,0.0817761464270649,0.694433205074348,-4071,-0.661352477249421,0.9062230869828715,-0.09846977037656952
2013-01-31,31.351,0.123087945548988,0.0018819176421804,0.123087945548988,0.470864111598165,0.0811006748626017,0.551608514283559,8365,-0.687131885722947,0.9969026081447326,-0.0031021987017776334
2013-02-28,28.395,-0.146323131501413,0.0013030463109702,-0.146323131501413,0.32651169831756,0.0646048817714615,0.647291988829294,-5041,-0.573655601577906,1.0,0.0
2013-03-29,28.323,-0.181013792904028,0.0020831126646188,-0.181013792904028,0.445889735947029,0.0624833057170071,0.64961075144196,9099,-0.550737094653572,0.9205015725873199,-0.08283656990490174
2013-04-30,24.144,-0.256741780568896,0.001698144466534,-0.256741780568896,0.215429419140474,0.0678664692414436,0.924725609520686,-10435,-0.412004626797097,1.0,0.0
2013-05-31,22.243,-0.281533641267483,0.0020231083936519,-0.281533641267483,0.261377937793164,0.0699232310097284,1.22755247837291,1839,-0.381896570067114,1.0086849272830054,0.008647430251638307
2013-06-28,19.451,-0.299239831393882,0.0009768135314378,-0.299239831393882,0.226163107194568,0.0699232310097284,1.70500045400877,-6844,-0.241097405379637,1.0,0.0
2013-07-31,19.628,-0.288324873096447,0.0023945384145098,-0.288324873096447,0.1881436805286,0.0699232310097284,1.55467031650456,-4492,-0.282605443181272,0.9235880398671096,-0.07948915105823873
2013-08-30,23.463,-0.159454037400587,0.0021310147892426,-0.159454037400587,0.425280937599328,0.0780276178851376,1.07470459857585,-18866,-0.481610336230805,1.0011068068622024,0.0011061948030665315
2013-09-30,21.708,-0.372183821615525,0.0022111663902708,-0.372183821615525,1.0064512314669,0.0780276178851376,1.48283591258833,-2049,-0.434886470467565,0.9145744729501074,-0.08929637876423634
2013-10-31,21.867,-0.367585389131503,0.0022865505099007,-0.367585389131503,0.943035177313808,0.0777662312696862,3.47887508349025,5429,-0.475989759031007,0.967898394919746,-0.03262816114054059
2013-11-29,19.981,-0.38169946775591,0.0026024723487312,-0.38169946775591,0.952910850540434,0.0618118377211074,7.30262704799973,14258,-0.390856433133217,1.0006715916722633,0.0006713662554958482
