Dates,PA1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,656.15,-0.0639132605749341,0.0022098605501792,-0.0639132605749341,-0.664363910428087,-0.0174657067931175,0.189714748084631,-2436,-0.650634460833265,1.0301595395935017,0.029713683056116758
2012-01-31,686.35,-0.145586953815511,0.0024768704013986,-0.145586953815511,-1.13241139160212,-0.0174657067931175,0.181671573372834,1583,-0.685927617940983,0.9243334983381656,-0.07868234352222472
2012-02-29,706.65,-0.138336788196561,0.0024764735017335,-0.138336788196561,-1.13816107345043,-0.0173680573413972,0.178308569045672,2522,-0.708225261224539,1.000841557646699,0.0008412037356063563
2012-03-30,654.1,-0.179966150567291,0.0024461091576211,-0.179966150567291,-0.976211032053345,-0.0183069029185111,0.197447230012637,-1462,-0.624779621324681,0.898072836520847,-0.1075041042577413
2012-04-30,682.35,-0.138610111721264,0.0027112185828388,-0.138610111721264,-1.00743598485321,-0.0183069029185111,0.203670438492214,1178,-0.667062099041636,0.9530842036553525,-0.04805202282467636
2012-05-31,612.1,-0.227292810705043,0.0029406959647115,-0.227292810705043,-0.785135316572849,-0.0088949850279523,0.251158488673697,1501,-0.547490112211328,1.0008560910880917,0.0008557248511227141
2012-06-29,584.55,-0.249566724436742,0.0021383970575656,-0.249566724436742,-0.70857539468928,-0.0082402466078114,0.267036049774803,-443,-0.495642431070651,1.064008128016256,0.062043030003297424
2012-07-31,590.55,-0.286516853932584,0.0031326729320124,-0.286516853932584,-0.778785496494519,-0.0082402466078114,0.280113567904817,1004,-0.489123267542489,1.0191772101535768,0.018995645061405986
2012-08-31,627.95,-0.241331400265796,0.0023091010430764,-0.241331400265796,-0.857736571380733,-0.0033381248817466,0.278218567438441,-4161,-0.502542361200072,1.0006246096189881,0.0006244146315898487
2012-09-28,640.8,-0.186905215074229,0.0019506866416978,-0.186905215074229,-1.01612139588938,-0.0062396733074042,0.296366822157257,237,-0.516500856166193,1.1265168907838636,0.11913047481580288
2012-10-31,609.8,-0.0077292327719468,0.0026238110856018,-0.0077292327719468,-0.352753031286952,-0.0062396733074042,0.357807582430493,979,-0.440427926198083,1.0233641458621443,0.023095382440707718
2012-11-30,686.25,0.0539046302695239,0.0028415300546449,0.0539046302695239,-0.0256914528801979,-0.0129249390156552,0.319861726211303,2278,-0.546656823698377,1.00049786628734,0.000497742393040177
