Dates,SB1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,23.3,-0.154264972776769,-0.0150214592274679,-0.154264972776769,0.547599132988056,-0.0008134892644119,0.673213735154883,47033,-0.713087156343791,1.083152880034647,0.0798761215231237
2012-01-31,23.64,-0.2640099626401,-0.0232656514382403,-0.2640099626401,0.700676282639951,-0.0008134892644119,0.706093552800049,107778,-0.765044919739527,0.9524190323870452,-0.04875018096237365
2012-02-29,25.66,-0.244627612599352,-0.0253312548713951,-0.244627612599352,0.650857790831519,-0.0006550710954271,0.692202607467653,64261,-0.877106867132446,1.0373635600335853,0.036682456073364754
2012-03-30,24.71,-0.239926176561058,-0.0360178065560502,-0.239926176561058,0.641321171686687,-0.0012182715971749,0.723287524967931,4855,-0.867969609358438,0.9365530303030303,-0.0655491326434947
2012-04-30,21.17,-0.0945252352437982,-0.002361832782239,-0.0945252352437982,0.771101034200261,-0.0012182715971749,0.819427726076006,-20703,-0.713346674504693,0.9817997977755308,-0.018367863331387208
2012-05-31,19.42,-0.169375534644996,0.0185375901132852,-0.169375534644996,0.880533920105304,0.0086404401892862,1.25299724436806,49904,-0.643463356227306,1.0899571632555924,0.0861383957032848
2012-06-29,21.81,-0.0591026747195856,-0.0366804218248509,-0.0591026747195856,0.607986476226711,0.010198872292339,1.04209878488843,-67420,-0.777369735995557,0.9886462882096071,-0.011418657225211671
2012-07-31,22.64,-0.240523314324052,0.0114840989399292,-0.240523314324052,0.198454113606105,0.010198872292339,1.10353584129055,-25766,-0.803989153288355,0.9956118966357874,-0.004397759347769748
2012-08-31,19.78,-0.336464273733646,0.0369059656218402,-0.336464273733646,0.274306429873392,-0.0032525937682767,1.76841269587656,57577,-0.641461181149083,0.950048971596474,-0.05124174666723715
2012-09-28,19.58,-0.340296495956873,0.042900919305414,-0.340296495956873,0.289647226856044,-0.0068794134369105,7.4056194646845,-59457,-0.638488768022081,1.0030927835051549,0.0030880106885767668
2012-10-31,19.46,-0.261199696279423,-0.0030832476875644,-0.261199696279423,0.143051466078888,-0.0068794134369105,4.31713836655788,45865,-0.616692822229262,1.0113519091847267,0.011287959773851575
2012-11-30,19.34,-0.249514939852542,0.0020682523267838,-0.249514939852542,0.100142617843415,-0.003452202539209,4.50887780085136,31942,-0.604810878897194,0.9612244897959182,-0.03954729708825468
2012-12-31,19.51,-0.162660944206009,0.0046130189646336,-0.162660944206009,-0.10770286332484,0.0047132201494593,4.02991953681016,6311,-0.581018233469299,0.9761146496815287,-0.024175230531987214
2013-01-31,18.78,-0.193991416309013,0.0031948881789136,-0.193991416309013,-0.0423099467232717,0.0022438438583715,3.09117860577342,81181,-0.521836017666496,0.9624796084828711,-0.03824239903644633
2013-02-28,18.38,-0.222504230118443,0.000544069640914,-0.222504230118443,0.054878091217485,-0.0056348970833455,42.799829221036,-52077,-0.494233889542626,0.9977401129943503,-0.0022624444039695043
2013-03-29,17.66,-0.311769290724864,0.0022650056625142,-0.311769290724864,0.204689173408601,-0.0073301235890019,10.334467847736,61394,-0.415060050662425,0.9602272727272726,-0.04058528011507845
2013-04-30,17.67,-0.284904896802914,-0.0039615166949632,-0.284904896802914,0.0901610094219538,0.0001666754688682,1.64928119627189,-15295,-0.410642608237449,0.9792899408284025,-0.020927520105955763
2013-05-31,16.55,-0.218233349078885,0.0211480362537764,-0.218233349078885,0.441973267694741,0.0038990792919427,1.46453430307494,78500,-0.330688391120381,1.0325059101654845,0.03198876996788789
2013-06-28,16.38,-0.15653964984552,0.0329670329670331,-0.15653964984552,0.37050897981141,0.0038990792919427,1.24925325214788,-83071,-0.305476136252249,0.9713795077275329,-0.029038044899830265
2013-07-31,16.97,-0.221916552040349,0.0294637595757219,-0.221916552040349,-0.97275995105448,0.0038990792919427,19.3886989250375,19020,-0.330768034317376,1.0746445497630333,0.07198995551917955
2013-08-30,16.34,-0.278268551236749,0.0330477356181149,-0.278268551236749,-1.05445047534707,-0.0103755047748292,17.8001816066138,83125,-0.285957420482298,1.0027563395810364,0.00275254784304034
2013-09-30,17.48,-0.107252298263534,0.0377574370709381,-0.107252298263534,0.612070913295017,-0.0103755047748292,8.49735487030967,-107953,-0.367025812662389,1.0071467839472237,0.007121366715953253
2013-10-31,18.32,-0.0643513789581205,-0.0070960698689955,-0.0643513789581205,0.422596416992627,-0.0105555164602192,0.713659663942101,2198,-0.395583790568357,0.9605568445475638,-0.04024211627843336
2013-11-29,17.15,-0.118705035971223,0.0052478134110787,-0.118705035971223,0.396260643242606,-0.0441840308928998,0.60837111302627,-46538,-0.299306525702157,0.9516908212560387,-0.04951506452738056
2013-12-31,16.41,-0.151499482936918,0.0091407678244972,-0.151499482936918,0.512860838052741,-0.0441840308928998,0.622809973685685,55378,-0.21493889179847,1.1205583756345179,0.11382711074608098
2014-01-31,15.55,-0.202972834443875,0.0135048231511254,-0.202972834443875,0.711236878855509,-0.0472064100044816,0.350019802848838,24028,-0.123637388554878,1.0266138165345413,0.02626582959094571
2014-02-28,16.47,-0.123003194888179,0.0722525804493019,-0.123003194888179,0.419173653750883,-0.0475640057465163,0.351309695135292,-61369,-0.182260842182965,0.9801434087148373,-0.020056382600199714
2014-03-31,17.77,0.0062287655719137,0.020258863252673,0.0062287655719137,0.117050408770201,-0.0464066038739571,0.45539003745637,-12318,-0.141846274031377,1.026523702031603,0.026178047353096208
2014-04-30,17.24,-0.0237825594563988,0.0278422273781902,-0.0237825594563988,0.229513439532713,-0.0473017984406102,0.839620152559302,11970,-0.0607501204995605,0.9554700384826826,-0.045551872692785066
2014-05-30,17.38,-0.0164119977362764,0.0466052934407366,-0.0164119977362764,0.198609096051949,-0.0454730234939468,0.872578169157462,55958,0.0051173023505448,1.0133259300388673,0.013237920840635789
2014-06-30,16.62,0.0146520146520148,0.0836341756919374,0.0146520146520148,0.176467806703814,-0.0454730234939468,0.752655263087045,8586,0.0498306327604885,0.9019178082191781,-0.10323188477957673
2014-07-31,16.46,0.004884004884005,0.108748481166464,0.004884004884005,0.234015111108593,-0.044743669302766,0.233694853426193,5827,0.203097881119762,0.9432339449541284,-0.058440941269452734
2014-08-29,15.49,-0.0872127283441368,0.12588766946417,-0.0872127283441368,0.463818361155107,-0.0399835222430107,0.213409228163162,28962,0.306943407185114,0.9933130699088146,-0.006709387779524035
2014-09-30,15.48,-0.052631578947369,0.0626614987080103,-0.052631578947369,0.353720941911194,-0.0600512271360997,0.21494285170762,-107266,0.30758919345231,0.981640146878825,-0.01853048699348841
