Dates,PL1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,1399.7,-0.160045607297167,0.0037150818032436,-0.160045607297167,-1.01824240184454,0.0335748123115626,0.243512446127868,1180,-0.139085652516063,1.0009454178747006,0.0009449712486983293
2012-01-31,1588.1,-0.104438053346867,0.0022038914426043,-0.104438053346867,-0.503120621072225,0.0335748123115626,0.256548607312169,3075,-0.261841763881168,0.9693371144984049,-0.031142828215168814
2012-02-29,1692.6,-0.060136598367483,0.0027177123951318,-0.060136598367483,-0.542895474823446,0.0338529368648513,0.263396438445021,148,-0.326889131491077,0.9568476869628817,-0.04411105697456492
2012-03-30,1638.3,-0.09446164050409,0.0035402551425258,-0.09446164050409,-0.443340000221712,0.0322455692341963,0.285115337075038,-4289,-0.275722433090671,1.0012739664946813,0.0012731556879205107
2012-04-30,1571.9,-0.157384079335299,0.002544691138113,-0.157384079335299,-0.256317931208301,0.0322455692341963,0.341898950147659,424,-0.234348392998646,1.022926072234763,0.022667218703033093
2012-05-31,1417.6,-0.240096488876976,0.0031038374717833,-0.240096488876976,-0.101217290406405,0.0373580101440359,0.600136995230147,7819,-0.0968725430861475,0.9763464588649059,-0.023937777213760614
2012-06-29,1449.1,-0.209869138495093,0.0022772755503417,-0.209869138495093,-0.188874258374503,0.0383127276095095,0.55048776644995,82,-0.111750100767885,1.0007769458963132,0.0007766442300923738
2012-07-31,1416.9,-0.206351873634683,0.0022584515491563,-0.206351873634683,-0.165810844260179,0.0383127276095095,0.564633817055778,3006,-0.0411507274433288,1.0835881090223118,0.08027785758268638
2012-08-31,1537.3,-0.138912227636812,0.0021466206986273,-0.138912227636812,-0.277046359757895,0.0421340454872766,0.486529551236123,2455,-0.0677644839757696,0.9469924360667548,-0.05446417308587184
2012-09-28,1665.3,-0.10284452106454,0.0024019696150843,-0.10284452106454,-0.287196096650742,0.041869150501665,0.424184914825681,5234,-0.137344631833558,0.9996830427892235,-0.00031700745232980773
2012-10-31,1577.0,0.0379097011978411,0.0020925808497145,0.0379097011978411,0.1275518366726,0.041869150501665,0.632420660325893,1249,-0.0182425551486176,0.9598653870123396,-0.040962226214405824
2012-11-30,1604.6,-0.00186613585469,0.0021189081391002,-0.00186613585469,0.225606690205104,0.0387820193918971,0.591540891215861,343,-0.0006713726945956,1.086806908193741,0.08324395500342453
2012-12-31,1538.7,0.099306994355933,0.0024046272827711,0.099306994355933,0.251319037194966,0.0455543957935534,1.18692275144451,-1908,0.0972609277421401,1.0008961108787862,0.0008957096111349333
2013-01-31,1675.4,0.19697077945274,0.0011340575384981,0.19697077945274,0.0958715988160385,0.0453466665700495,0.857094780085449,9163,0.0151372369475697,0.9929270603094411,-0.007098071502464223
2013-02-28,1583.5,-0.0028965430388514,0.0017682349226397,-0.0028965430388514,0.163065177373262,0.0343256986509652,1.4939241493852,-2940,0.090879792810746,0.9579596769064429,-0.0429495928089788
2013-03-29,1571.2,-0.0717239749497816,0.0021639511201627,-0.0717239749497816,0.356438788226951,0.0307845285476731,1.60824994338179,-2246,0.127466705518121,1.0006639224538574,0.0006637021548472582
2013-04-30,1507.2,-0.0800219739974365,0.0014596602972398,-0.0800219739974365,0.370650551322465,0.0333077729588558,38.39986168236,-878,0.132453344692547,0.915583527158298,-0.08819368237367706
2013-05-31,1461.8,-0.0700426235765634,0.0027363524421946,-0.0700426235765634,0.352575367782286,0.0340345343098635,1.59554896175283,-79,0.0958104435771528,1.0672444710101614,0.06508006604767917
2013-06-28,1336.9,-0.0569272009029346,0.0022439973072032,-0.0569272009029346,0.450753867735004,0.0340345343098635,2.11494807195255,-1194,0.193619804682809,1.000630075609073,0.000629877194775968
2013-07-31,1429.3,-0.0136636533020494,0.001469250682152,-0.0136636533020494,0.343095241128977,0.0340345343098635,7.51736521488672,1684,0.0670366226576755,0.9230567742780433,-0.08006453577722081
2013-08-30,1527.1,0.0777754252240803,0.0022264422762099,0.0777754252240803,0.098991320962963,0.0562882927658343,3.36947147550544,3170,-0.0325193617759171,1.026106696935301,0.02577173445599718
2013-09-30,1408.1,-0.154446646249925,0.0030537603863363,-0.154446646249925,0.486831605236074,0.0562882927658343,46.6812433932643,-6415,0.0082043037462624,1.001382743362832,0.0013817882535741696
2013-10-31,1448.4,-0.13024680237795,0.0015879591273129,-0.13024680237795,0.360458560090386,0.0557054393035037,1.84812041703949,-3016,-0.0882113945251925,1.0022647574517827,0.0022621967541355615
2013-11-29,1368.8,-0.132022828154724,0.0025569842197545,-0.132022828154724,0.360731996684329,0.0333894204596642,1.14395423498712,3987,-0.0755112990121885,1.0021138566950942,0.00211162564355946
2013-12-31,1371.1,-0.14551913249408,0.0019692217927211,-0.14551913249408,0.420030952145131,0.0333894204596642,1.39443220577187,1208,-0.129255067292903,1.0006546406750074,0.0006544264912712286
2014-01-31,1375.7,-0.105933580295055,0.0018899469361051,-0.105933580295055,0.282081244332384,0.0331911854109659,0.885301694539691,-2225,-0.188757980979221,0.9809234171965718,-0.019260888522627747
2014-02-28,1446.8,-0.136445028053003,0.0009676527508986,-0.136445028053003,0.157233327257385,0.0323180228584452,1.13443300856566,5203,-0.285786962724011,1.0054255918827508,0.005410926381214455
2014-03-31,1418.5,-0.0971868635437885,0.0016214310891786,-0.0971868635437885,0.0707973009641482,0.0317176813708619,0.96807646982569,1830,-0.268679546394332,1.0007008199593523,0.000700574499719937
2014-04-30,1427.9,-0.0912041751527498,0.0009804608165837,-0.0912041751527498,0.0183410742687362,0.0317436349373519,0.823771112485224,-3291,-0.253446932430716,1.0201693398499345,0.019968632977194273
2014-05-30,1452.7,-0.0361597664543527,0.0002065120121153,-0.0361597664543527,-0.193220578324569,0.0314679964106519,0.909362533894263,7875,-0.208389796753258,0.9883265856950068,-0.011742083531770723
2014-06-30,1481.0,0.107786670655994,0.0012829169480081,0.107786670655994,-0.426929505935903,0.0314679964106519,1.15667263208921,-4486,-0.227683438142218,1.0003413668327985,0.00034130858039782026
2014-07-31,1465.2,0.0959682848380576,0.0008190008190007,0.0959682848380576,-0.346290837065756,0.0316401444193916,1.25021268439396,2390,-0.146149175630904,0.9121218502140801,-0.09198169014164097
2014-08-29,1424.7,-0.003218358637095,0.001333614094195,-0.003218358637095,-0.242832617128201,0.0350983883576644,1.02177132484697,-6068,-0.0886334477201483,0.9498268564832627,-0.051475567331662045
2014-09-30,1298.5,-0.14969550127693,0.0015402387370042,-0.14969550127693,-0.484562120493004,0.0343520861422859,0.567134796396264,-4073,0.0041180654002343,1.0007291582273354,0.0007288925206288326
2014-10-31,1235.2,-0.122789574604076,0.0009715025906735,-0.122789574604076,-0.450290349806212,0.0363718426800116,0.880788535174943,1188,0.109199291964992,0.9980186576405515,-0.001983307814810227
2014-11-28,1211.3,-0.163697873515604,0.0014034508379428,-0.163697873515604,-0.322637019997081,0.0363718426800116,0.556587707814675,3834,0.145004238479575,1.0250641078666556,0.0247551548947126
2014-12-31,1208.9,-0.116817650496785,0.0004963189676565,-0.116817650496785,-0.575567131035318,0.0363718426800116,1.23100126887234,-95,0.173226744971551,0.9991930277598451,-0.0008072980175270915
2015-01-30,1238.2,-0.0969294726861644,0.0009691487643352,-0.0969294726861644,-0.59721688961687,0.0368613881763564,1.68153758028658,203,0.170462273523229,0.9639001349527666,-0.03676758418520436
2015-02-27,1185.6,-0.138184197136004,0.0013495276653172,-0.138184197136004,-0.347347968269641,0.0368613881763564,0.38988665462842,4525,0.228191517611515,0.997462373118656,-0.0025408521138850135
