Dates,HG1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,343.6,-0.101229400993984,0.003346915017462,-0.101229400993984,-0.475380719076914,0.0615708604367389,0.321329307460491,5944,-0.0565054420051198,1.0229551451187335,0.02269563959445712
2012-01-31,379.0,-0.147740049471554,0.0029023746701848,-0.147740049471554,-0.774204083874196,0.0615708604367389,0.246296935429646,30799,-0.15016701431796,0.98658756770699,-0.01350319141029289
2012-02-29,387.05,-0.131882920264663,0.0023252809714506,-0.131882920264663,-0.806534979084153,0.0616460181062536,0.250395850633999,1354,-0.179097203707056,1.0,0.0
2012-03-30,382.5,-0.145824028584189,0.0022222222222223,-0.145824028584189,-0.771339534029333,0.060645617182418,0.254596015243642,-6505,-0.164147834579843,0.8784912555468546,-0.12954932524988122
2012-04-30,383.35,-0.0797023166486618,-0.001043432894222,-0.0797023166486618,-0.90334372576503,0.060645617182418,0.27654880781976,-1239,-0.166367591318156,1.0,0.0
2012-05-31,336.55,-0.192053775057016,0.0023770613578963,-0.192053775057016,-0.67169500853043,0.0656106365636449,0.445869789489943,7316,-0.0352529599858995,0.9781053234115625,-0.0221379220958974
2012-06-29,349.0,-0.16457211250748,0.0018624641833811,-0.16457211250748,-0.71879028202653,0.0683331695378624,0.418349187965064,-11945,-0.069594259816391,1.0,0.0
2012-07-31,341.75,-0.237080031253488,0.0033650329188001,-0.237080031253488,-0.518985197837971,0.0683331695378624,0.457893222001707,2006,-0.0435901575033487,1.0877674956622323,0.08412742675704026
2012-08-31,345.4,-0.228931800424155,0.0008685581933989,-0.228931800424155,-0.599540733490564,0.0645727360395915,0.576762850474196,-6039,-0.0250768563727165,0.9990695201382428,-0.0009309130268655586
2012-09-28,375.8,-0.10245999522331,0.0021287919105907,-0.10245999522331,-0.787647806820864,0.0634029028552072,0.55782567995547,12854,-0.0938322056668365,1.0349680170575692,0.03437052484622159
2012-10-31,351.75,0.115958121827411,0.0031272210376689,0.115958121827411,0.231534610437397,0.0634029028552072,0.795059274910013,7209,-0.0011268716285421,1.0019228128004394,0.0019209665621748259
2012-11-30,362.95,-0.0006883259911891,0.0056481609037057,-0.0006883259911891,-0.17489131478728,0.0583048479158889,0.717854209232528,-16052,-0.0310601353182916,1.0013708019191228,0.0013698632279139041
2012-12-31,365.25,0.063009313154831,0.0026009582477755,0.063009313154831,-0.394209814108573,0.0760649761580334,0.865420480636301,5802,-0.0240841962985493,0.947883172561629,-0.053524020015741525
2013-01-31,373.2,0.0861466821885912,0.0034833869239014,0.0861466821885912,-0.464939643729123,0.0776581974697084,0.696086699063146,30601,-0.0435494684961539,0.9616961130742049,-0.03905676899568606
2013-02-28,352.75,-0.0692612137203165,0.0056697377746279,-0.0692612137203165,-0.545705361280775,0.0662145023618355,1.16670635009328,-16596,0.0110420480549187,1.0,0.0
2013-03-29,340.2,-0.121043792791629,0.0058788947677836,-0.121043792791629,-0.338901612818657,0.0640481015661854,1.45427163914047,19078,0.0458693601722673,1.0337519623233908,0.03319486561117233
2013-04-30,318.75,-0.166666666666667,0.0,-0.166666666666667,-0.176897373092036,0.0650369200106279,299.517575482319,-13589,0.0948941693386337,1.0,0.0
2013-05-31,329.25,-0.141124298943524,0.0045558086560364,-0.141124298943524,-0.241951927541813,0.0637445211572008,2.27317471795928,-693,-0.0180463292433186,1.0206185567010309,0.020408871631207033
2013-06-28,305.05,-0.0935967909671667,0.0022947057859366,-0.0935967909671667,0.159694375760881,0.0637445211572008,2.37331137538306,9675,0.0602678181944678,1.0,0.0
2013-07-31,311.85,-0.106446991404011,0.0051306717973382,-0.106446991404011,0.194451076681713,0.0637445211572008,5.07935521957953,-8653,-0.0460097802373846,1.0288104089219332,0.02840319198690727
2013-08-30,322.5,-0.0563277249451353,0.0024806201550386,-0.0563277249451353,-0.0074955276607584,0.080503247253745,2.68812362540267,-19848,-0.126438453929167,1.0006022282445046,0.0006020469778476642
2013-09-30,332.3,-0.115753060138371,0.0030093289196508,-0.115753060138371,-0.321652964320303,0.080503247253745,2.22169256569699,4748,-0.186437750683818,0.9762157248901681,-0.024071687391905905
2013-10-31,330.05,-0.121740287386908,0.0025753673685804,-0.121740287386908,-0.350599264156123,0.0804079644287472,6.65294642989975,5531,-0.257678999341131,1.0594351334574799,0.057735873121415336
2013-11-29,323.05,-0.0815920398009949,-0.0078935149357685,-0.0815920398009949,-0.466196465731592,0.0042644965988786,3.79539414947387,-2666,-0.290030260837448,0.9950197744250767,-0.004992668226978556
2013-12-31,339.65,-0.0641961702713869,-0.0033858383630206,-0.0641961702713869,-0.363160610219518,0.0042644965988786,8.65235316667206,12888,-0.383983960284302,1.0042227087894902,0.004213818174261626
2014-01-31,319.7,-0.124709103353867,0.0001563966218329,-0.124709103353867,-0.135939252780016,0.0015286912335657,0.671582122213332,-15784,-0.366665320003465,0.9423765768571873,-0.05935032117172692
2014-02-28,323.85,-0.132234726688103,-0.0157480314960631,-0.132234726688103,-0.114830154937075,0.0014579027660097,0.702790685599001,-7268,-0.435477154936196,1.0,0.0
2014-03-31,302.55,-0.110670194003527,-0.0011568335812263,-0.110670194003527,-0.23671823307665,-0.0002249776508652,0.551538097974924,11148,-0.363693181635589,1.0303480125350488,0.029896621421839364
2014-04-30,302.95,-0.109494415049971,-0.0006601749463607,-0.109494415049971,-0.295210715595569,-0.000298333401737,0.717908594422923,-14074,-0.362220162292136,1.0,0.0
2014-05-30,312.35,-0.0200784313725491,-0.0025612293901072,-0.0200784313725491,-0.589302872682797,0.0025293125242234,0.835547482117019,11679,-0.323884383434738,1.0106349702846418,0.010578816764656733
2014-06-30,318.8,0.0450745779380433,0.004861982434128,0.0450745779380433,-0.730618018562706,0.0025293125242234,0.920327615740646,-8121,-0.344323976411219,1.0000000000000002,2.2204460492503128e-16
2014-07-31,323.1,0.0591706277659403,0.0027855153203342,0.0591706277659403,-0.816554014954601,0.0023447432218767,0.685173277866225,27085,-0.235636799788897,0.9559618441971383,-0.04503727865491759
2014-08-29,313.5,0.0052910052910053,0.0081339712918659,0.0052910052910053,-0.530917276622633,0.0152438532977731,0.611224804445102,-35616,-0.150149303853182,1.000332612672543,0.0003325573692106717
2014-09-30,300.75,-0.0674418604651162,0.0016625103906899,-0.0674418604651162,-0.252353736544815,0.010685394423082,0.66311173458192,24316,-0.108629298634995,0.9389563505086972,-0.06298628593559867
2014-10-31,304.7,-0.0830574781823654,-0.0026255333114538,-0.0830574781823654,-0.23842961226559,0.0089436900466815,6.72280610774335,2313,-0.0568614519068009,0.989863684026564,-0.010188038236500024
2014-11-28,286.0,-0.133464626571732,-0.0048951048951048,-0.133464626571732,-0.109057109749856,0.0089436900466815,0.405907416186071,1360,0.0300933188773136,0.9977048022598871,-0.0022978357437122548
