Dates,NG1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,2.989,-0.284928229665072,0.0090331214452994,-0.284928229665072,-0.0291025267681511,-0.0268217942410516,1.78151628506453,56983,0.882640290564573,0.9488248673237302,-0.05253104184548562
2012-01-31,2.503,-0.431782065834279,0.0539352776667998,-0.431782065834279,0.110484820433821,-0.0268217942410516,2.98618590326752,191942,1.06101497409626,0.9653136531365314,-0.03530220129665724
2012-02-29,2.616,-0.40814479638009,0.0359327217125383,-0.40814479638009,0.0611864614281928,-0.0266578727398183,4.82238638848001,-6022,1.0055125420709,0.9411243913235945,-0.060679957566110054
2012-03-30,2.126,-0.473371315333168,0.0625587958607714,-0.473371315333168,-0.0302628086691545,-0.0250581660932303,2.27541686032001,35681,1.22069486101276,0.954469507101086,-0.04659958278961341
2012-04-30,2.285,-0.513622818220519,0.0477024070021881,-0.513622818220519,0.051688556166532,-0.0250581660932303,4.65957886084881,21851,1.14857111658635,0.9762192664248288,-0.024068059578763328
2012-05-31,2.422,-0.48446147296722,0.0243600330305531,-0.48446147296722,-0.0733780390766493,-0.0269398153139064,5.47868576416338,-41988,1.09981844656708,0.9968231556653723,-0.0031819012173839793
2012-06-29,2.824,-0.394770681525932,0.003186968838527,-0.394770681525932,0.173252356423917,-0.0272598998358296,26.540265012494,-88161,0.928118523943202,0.99906600249066,-0.0009344339567954256
2012-07-31,3.209,-0.225814234016888,0.0009348706762231,-0.225814234016888,-0.0633421842830977,-0.0272598998358296,4.80349962938423,2067,0.822820792730439,0.9446506918663516,-0.05694005805811175
2012-08-31,2.799,-0.324728588661037,0.0585923544122902,-0.324728588661037,0.0766311933524605,-0.0357975795493786,9.50168246869205,-39912,0.977246703507702,0.9183955739972337,-0.08512707268233088
2012-09-28,3.32,-0.181055747409965,0.0888554216867472,-0.181055747409965,0.0118585326761461,-0.0398473477116402,1.76425139984854,4322,0.808081450150654,0.9664921465968587,-0.03408210597787806
2012-10-31,3.692,0.0070921985815604,0.0346695557963164,0.0070921985815604,-0.242817424977058,-0.0398473477116402,4.20490338734149,89559,0.759710511998334,0.9935825892857143,-0.006438090817043346
2012-11-30,3.561,-0.094814438230808,0.0064588598708228,-0.094814438230808,-0.0870079954531011,-0.0349107867615626,3.10696893320007,-15845,0.832581289343879,0.9958395245170876,-0.004169154341517876
2012-12-31,3.351,0.121110739377719,0.0041778573560131,0.121110739377719,-0.275924052489281,-0.0217402957349094,2.71984860495664,-67,0.960594571784914,0.984375,-0.015748356968139168
2013-01-31,3.339,0.117096018735363,0.0158730158730158,0.117096018735363,-0.253599257355764,-0.0223130783751887,1.71277294237077,9820,0.96735684815609,0.9872557349192863,-0.012826169848420192
2013-02-28,3.486,0.392728725529365,0.0129087779690189,0.392728725529365,-0.428037560708671,-0.0207710445363963,3.18268906722304,38703,0.948580735177119,0.9896704377766847,-0.01038328240871678
2013-03-29,4.024,0.53822629969419,0.0104373757455267,0.53822629969419,-0.484895835167667,-0.0228755128006931,13.2308659592106,223796,0.850529703431938,0.9883932635411925,-0.011674620409733678
2013-04-30,4.343,1.04280338664158,0.0117430347685932,1.04280338664158,-0.448640059182421,-0.0258331136324671,1.23876276191278,122668,0.756553570749787,0.9952535598301274,-0.004757740288084748
2013-05-31,3.984,0.743544857768053,0.0047690763052208,0.743544857768053,-0.235089798713482,-0.0252342786512921,1.84045089214509,-84148,0.806509654298275,1.0016858668165214,0.0016844473382035274
2013-06-28,3.565,0.471924029727498,-0.0016830294530153,0.471924029727498,-0.0716272594920434,-0.0252342786512921,246.43597631553,-82520,0.932668273753149,0.9927974647075771,-0.0072285987739112755
2013-07-31,3.446,0.220254957507082,0.0072547881601856,0.220254957507082,0.154534264241395,-0.0252342786512921,2.31202734753082,-24153,0.909814158737554,0.9720412595005429,-0.028357027376764776
2013-08-30,3.581,0.115923963851667,0.0287629153867635,0.115923963851667,0.269462549711447,0.0101550643193064,3.04583706822252,-39092,0.8359314889555,0.9546795387503352,-0.046379556332744695
2013-09-30,3.56,0.072289156626506,0.0474719101123595,0.072289156626506,0.320708677286009,0.0101550643193064,3.54487455693235,-54093,0.830606359621695,0.9776139776139776,-0.02264039278038167
2013-10-31,3.581,0.0786144578313253,0.022898631667132,0.0786144578313253,0.344970360653882,0.0101916391076023,7.89531060157532,8862,0.71410615887496,0.9992418498862775,-0.0007584376548620417
2013-11-29,3.954,0.0709642470205847,0.0007587253414262,0.0709642470205847,0.336622878731065,-0.0203711901993251,2.32856849683164,-23569,0.538454870607406,1.008824230860959,0.008785524869561216
2013-12-31,4.23,0.187868576242629,-0.0087470449172578,0.187868576242629,0.0873990506661495,-0.0203711901993251,1.90071234605738,30291,0.377397101697667,1.1097889537494388,0.10416986548964641
2014-01-31,4.943,0.475082065055208,-0.0989277766538539,0.475082065055208,0.0104500600745317,-0.0142338937821682,1.24577603450667,-52266,0.0927192864238036,1.012967032967033,0.012883680775512262
2014-02-28,4.609,0.380353399221323,-0.0128010414406596,0.380353399221323,0.0514032558922168,-0.0127972344957296,1.66548261497259,-28357,0.10421536032616,0.992506811989101,-0.007521402979255918
2014-03-31,4.371,0.0862326043737573,0.0075497597803704,0.0862326043737573,0.322831888656255,-0.0142871633723383,1.41956271675519,-76091,0.0751532797979834,0.9942184596324594,-0.005798318171003061
2014-04-30,4.815,0.196570576540755,0.0058151609553478,0.196570576540755,0.160940144394624,-0.0129856019035339,1.80424020864077,-44015,-0.0614387161814656,1.0039787798408488,0.00397088542949272
2014-05-30,4.542,0.045820861155883,-0.0039630118890355,0.045820861155883,0.423737820871171,-0.0163078360716615,2.52681265128258,-111052,-0.0778861717115934,1.0047297297297297,0.004718579701994333
2014-06-30,4.461,0.251332398316971,-0.0047074646940147,0.251332398316971,0.50214746689776,-0.0163078360716615,2.73499384787695,53729,-0.0598916841743545,0.9932764416860616,-0.0067462632613922765
2014-07-31,3.841,0.0774193548387097,0.0067690705545431,0.0774193548387097,0.211100849385443,-0.0136512939407964,3.44564309698766,-59597,0.102831937482247,0.9876093294460643,-0.012468074972029121
2014-08-29,4.065,0.179628554846198,0.0125461254612544,0.179628554846198,0.0048564335618477,-0.019219730543553,2.27850487050718,5597,0.0581180461797754,0.9835322195704057,-0.016604881577366084
2014-09-30,4.121,0.150795867076236,0.0167435088570735,0.150795867076236,0.0674023334315732,-0.0059904312921616,1.87914317326008,-41613,0.044435936822869,0.9782773427633241,-0.02196206759137838
2014-10-31,3.873,0.0879213483146066,0.0222050090369224,0.0879213483146066,0.148122060574952,-0.0074963914076458,1.57675531131132,-36408,0.101216805591627,1.000734394124847,0.0007341245894370963
