"Dates","SB1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,29.81,0.653355518580144,-0.0436095270043608,0.653355518580144,0.0963723220210407,-0.0186926227567199,0.542728660136526,25936,NA
2011-08-31,29.68,0.516607051609607,-0.0269541778975741,0.516607051609607,0.232670764747465,-0.0133290057412634,0.554760840059139,-35089,-0.772740752811604
2011-09-30,26.34,0.33367088607595,-0.0398633257403189,0.33367088607595,0.288344712359316,-0.00346792478018325,0.633351692914907,-136035,-0.692621648446598
2011-10-31,25.77,-0.115041208791209,-0.0236709351959643,-0.115041208791209,0.483279953435772,-0.00152660963442141,0.626546023124552,37465,-0.753872861680087
2011-11-30,23.69,-0.18646978021978,-0.0151962853524695,-0.18646978021978,0.602172345854621,-0.00144725577110466,0.66091026218668,8901,-0.669714855186507
2011-12-30,23.3,-0.154264972776769,-0.0150214592274679,-0.154264972776769,0.547599132988056,-0.000813489264411904,0.673213735154883,47033,-0.713087156343791
2012-01-31,23.64,-0.2640099626401,-0.0232656514382403,-0.2640099626401,0.700676282639951,-0.000813489264411904,0.706093552800049,107778,-0.765044919739527
2012-02-29,25.66,-0.244627612599352,-0.0253312548713951,-0.244627612599352,0.650857790831519,-0.000655071095427118,0.692202607467653,64261,-0.877106867132446
2012-03-30,24.71,-0.239926176561058,-0.0360178065560502,-0.239926176561058,0.641321171686687,-0.00121827159717498,0.723287524967931,4855,-0.867969609358438
2012-04-30,21.17,-0.0945252352437982,-0.002361832782239,-0.0945252352437982,0.771101034200261,-0.00121827159717498,0.819427726076006,-20703,-0.713346674504693
2012-05-31,19.42,-0.169375534644996,0.0185375901132852,-0.169375534644996,0.880533920105304,0.00864044018928622,1.25299724436806,49904,-0.643463356227306
2012-06-29,21.81,-0.0591026747195856,-0.0366804218248509,-0.0591026747195856,0.607986476226711,0.010198872292339,1.04209878488843,-67420,-0.777369735995557
2012-07-31,22.64,-0.240523314324052,0.0114840989399292,-0.240523314324052,0.198454113606105,0.010198872292339,1.10353584129055,-25766,-0.803989153288355
2012-08-31,19.78,-0.336464273733646,0.0369059656218402,-0.336464273733646,0.274306429873392,-0.00325259376827671,1.76841269587656,57577,-0.641461181149083
2012-09-28,19.58,-0.340296495956873,0.042900919305414,-0.340296495956873,0.289647226856044,-0.00687941343691056,7.4056194646845,-59457,-0.638488768022081
2012-10-31,19.46,-0.261199696279423,-0.00308324768756441,-0.261199696279423,0.143051466078888,-0.00687941343691056,4.31713836655788,45865,-0.616692822229262
2012-11-30,19.34,-0.249514939852542,0.00206825232678387,-0.249514939852542,0.100142617843415,-0.00345220253920906,4.50887780085136,31942,-0.604810878897194
2012-12-31,19.51,-0.162660944206009,0.00461301896463362,-0.162660944206009,-0.10770286332484,0.00471322014945938,4.02991953681016,6311,-0.581018233469299
