"Dates","GC1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,1628.3,0.306926719640421,0.000982619910335991,0.306926719640421,-0.408138826662274,0.0316709158185138,0.22822846757928,27756,NA
2011-08-31,1829.3,0.548024033172548,0.00131197725906085,0.548024033172548,-0.192121619194136,0.0314471650498267,0.164341758174128,-16046,-1.07259636985804
2011-09-30,1620.4,0.297357886309047,0.00117254998765737,0.297357886309047,-0.50972123573079,0.0320404303228405,0.214482972252193,-62900,-0.939229026178332
2011-10-31,1725.2,0.270771950500884,0.00121725017389274,0.270771950500884,-0.460565202819419,0.0302713534907133,0.212168522069464,461,-0.991343671107992
2011-11-30,1745.5,0.285724808485563,0.00274992838728161,0.285724808485563,-0.448527971961052,0.0302662760081948,0.131786067839598,-10217,-1.00304173287939
2011-12-30,1566.8,0.131263537906137,0.0016594332397244,0.131263537906137,-0.32464264811253,0.0324634443307682,0.172285684435169,-10964,-0.891531542997993
2012-01-31,1737.8,0.222597439144506,0.00149614455058122,0.222597439144506,-0.345625285389854,0.0324634443307682,0.182690933760776,5979,-0.989040022267382
2012-02-29,1711.3,0.283025940920678,0.00157774791094489,0.283025940920678,-0.433421075775094,0.0323843866625467,0.193200453647924,36608,-0.972108615166575
2012-03-30,1669.3,0.183984679764522,0.00155753908824074,0.183984679764522,-0.223092915918841,0.0317471926313183,0.203358939520148,-57061,-0.922869464075755
2012-04-30,1664.2,0.0692624004112055,0.00138204542723219,0.0692624004112055,-0.0203246181091555,0.0317471926313183,0.196095460899424,3325,-0.919809614680742
2012-05-31,1562.6,0.00398355178617327,0.00102393446819415,0.00398355178617327,0.11724611047572,0.0341274303900592,0.236164980912989,8904,-0.821794481499899
2012-06-29,1604.2,0.0444690409531872,0.00137140007480374,0.0444690409531872,0.00667752424926773,0.0360120976915614,0.224978983773947,1219,-0.843217967741272
2012-07-31,1610.5,-0.0109316465024873,0.00117975783918034,-0.0109316465024873,0.0773070806120606,0.0360120976915614,0.196740962147004,-14725,-0.800082476691427
2012-08-31,1685.3,0.0350058343057174,0.00136474218240079,0.0350058343057174,-0.036582945861111,0.0370125741426226,0.192324136969613,34625,-0.811720161577666
2012-09-28,1771.1,-0.0318154485322258,0.00158093839986462,-0.0318154485322258,-0.260328943840718,0.0377706454715003,0.1786722908272,48493,-0.852958491752977
2012-10-31,1719.1,0.0609108862009378,0.00127973939852244,0.0609108862009378,-0.0854140618245026,0.0377706454715003,0.217204986724478,-28710,-0.786777212931575
2012-11-30,1710.9,-0.00828889404127087,0.00105207785376105,-0.00828889404127087,0.07496427871382,0.0361883560410682,0.219632676905952,-15227,-0.762165101833349
2012-12-31,1675.8,0.0695685473576713,0.00131280582408411,0.0695685473576713,0.727788939531258,0.043341440110521,0.269116600580642,-14600,-0.699052316819408
2013-01-31,1660.6,0.0598672453408216,0.000843068770324029,0.0598672453408216,0.826783060238899,0.0417286361361942,0.211843558656606,-3834,-0.682494371026762
2013-02-28,1578.1,-0.0918978018183916,0.00107724478803628,-0.0918978018183916,0.263188517447256,0.0326009157825812,0.264870174918454,11085,-0.614572747927325
2013-03-29,1594.8,-0.0680769006018819,0.000564334085778828,-0.0680769006018819,0.105468616207122,0.0317712591459945,0.257787173719647,-26641,-0.597146979001882
2013-04-30,1472.1,-0.118133349308094,0.000951022349025221,-0.118133349308094,-0.125919717748019,0.0340491932247659,0.335602660425965,12493,-0.517425258104352
2013-05-31,1392.6,-0.16320153827665,0.000287232514720737,-0.16320153827665,0.0535350756439807,0.0355225057058337,0.514337524816537,-45881,-0.474110638511263
2013-06-28,1223.7,-0.21688211954435,0.000898913132303614,-0.21688211954435,-0.46042943336571,0.0355225057058337,1.77555511093342,33844,-0.33671606248172
2013-07-31,1312.4,-0.181897519012592,0.000152392563242731,-0.181897519012592,-0.215126366200396,0.0355225057058337,0.771971910982635,-10477,-0.397952894321315
2013-08-30,1395.8,-0.133312635827383,0.000214930505803013,-0.133312635827383,-0.211846567555284,0.0418411098013658,0.575410455641095,-18855,-0.457836826916669
2013-09-30,1326.5,-0.251030433064197,0.000376931775348588,-0.251030433064197,0.165508174338159,0.0418411098013658,1.06482761346654,-10522,-0.415627768324081
2013-10-31,1323.7,-0.252611371464062,0.00060436654831153,-0.252611371464062,0.0938490900847409,0.0416756285895763,3.38782597218853,18567,-0.411565113762389
