"Dates","LC1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,112.625,0.234246575342466,0.0417314095449501,0.234246575342466,-0.681405465643416,0.012386926529628,0.546189339773893,-13451,NA
2011-08-31,113,0.219643820831085,0.00907079646017706,0.219643820831085,-0.630606196361339,0.0138075107295085,0.569581708885094,1996,-0.263338189906376
2011-09-30,122.15,0.256041131105399,0.00409332787556282,0.256041131105399,-0.581655005366848,0.0115189998000401,0.391823981722828,19424,-0.334622504745265
2011-10-31,119.8,0.211937278705109,-0.0100166944908181,0.211937278705109,-0.488355265865285,0.0121042913873008,0.374477567725404,-5540,-0.290724164783308
2011-11-30,121.6,0.230146686899343,0.0164473684210527,0.230146686899343,-0.503179816808327,0.0120995808544149,0.21200282127323,-6878,-0.305637448634025
2011-12-30,122.9,0.192335677904438,-0.0117982099267697,0.192335677904438,-0.40300782766151,0.0104158602017625,0.205900533623357,-3670,-0.30996006487475
2012-01-31,124.85,0.157089898053753,0.0298358029635561,0.157089898053753,-0.316744179713598,0.0104158602017625,0.162772846312998,22446,-0.31692998579705
2012-02-29,127.65,0.171638366223038,0.0164512338425382,0.171638366223038,-0.363482786546302,0.0104696563289941,0.157388338583592,30217,-0.332520660216584
2012-03-30,120.45,0.092517006802721,-0.0356994603569946,0.092517006802721,-0.187211286530652,0.00937174118575502,0.189981466369598,-9157,-0.265243040949875
2012-04-30,118.75,0.014523707817172,-0.0387368421052631,0.014523707817172,-0.373516363786511,0.00937174118575502,0.206751172431526,-15994,-0.251028754803745
2012-05-31,117.1,0.000427167876975609,0.0153714773697695,0.000427167876975609,-0.32293481445717,0.0104120995177132,0.181420984915758,-16226,-0.232167260441356
2012-06-29,116.55,0.123373493975903,0.0334620334620335,0.123373493975903,0.63829518785752,0.0135008085649585,0.184056341673122,-10544,-0.221072195979133
2012-07-31,118.875,0.0554938956714757,0.0464773922187172,0.0554938956714757,0.453582750604087,0.0135008085649585,0.181856357789255,-13993,-0.23811800830783
