"Dates","W_1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,672.5,0.447014523937601,0.0643122676579926,0.447014523937601,0.615871435245168,0.05291462421128,9.2241400667588,-9870,NA
2011-08-31,745.25,0.12660619803477,0.062059711506206,0.12660619803477,-0.434190493015472,0.0507859271944393,2.51050692172475,-17701,-0.565847587590073
2011-09-30,609.25,-0.0662835249042146,0.0611407468198606,-0.0662835249042146,-0.317376709456093,0.0500345143008255,9.50983654246785,15508,-0.352117487681608
2011-10-31,628.25,-0.124085047054723,0.0576999602069239,-0.124085047054723,-0.211937074446091,0.0486805530560488,2.85332359930716,7587,-0.340939022384164
2011-11-30,595.75,-0.169397002439874,0.0306336550566513,-0.169397002439874,-0.142200255837152,0.0487055828590599,1.61280130173565,-59800,-0.287821961939314
2011-12-30,652.75,0.00384467512495212,0.0283416315587897,0.00384467512495212,-0.393683024376999,0.0506950150031009,1.30076192030951,15450,-0.335606453548847
2012-01-31,666,-0.161473087818697,0.0213963963963963,-0.161473087818697,-0.728839545439579,0.0506950150031009,1.36142107174425,84899,-0.313973714406205
2012-02-29,664.25,-0.209931608682724,0.005645464809936,-0.209931608682724,-0.661327595681359,0.0507249082397333,1.08612425988458,-23299,-0.296207416488363
2012-03-30,660.75,-0.155591054313099,0.0200529701097238,-0.155591054313099,-0.799149104841383,0.0504293434666907,1.09682950974288,13975,-0.155591579534379
2012-04-30,647.75,-0.157946051348717,0.0104206869934389,-0.157946051348717,-0.743193717702038,0.0504293434666907,1.24572842760539,-29976,-0.1357208454922
2012-05-31,643.75,-0.163145921351966,0.0264077669902913,-0.163145921351966,-0.784541458206748,0.0465903529663157,2.05964746952848,-3525,-0.0477541065890006
2012-06-29,739,-0.0552892297858741,0.0246955345060893,-0.0552892297858741,-0.694328004995435,0.0442961747488826,1.36280547909487,-8356,-0.170684523712304
2012-07-31,888.25,0.320817843866171,0.0160427807486632,0.320817843866171,-0.184168946569484,0.0442961747488826,0.675110101273639,49575,-0.27283260168345
2012-08-31,870,0.293680297397769,0.0224137931034483,0.293680297397769,-0.0913634141735806,0.0408004269945472,0.725354743486368,-26214,-0.185456438880959
2012-09-28,902.5,0.2110030191211,0.010803324099723,0.2110030191211,0.00555986266344444,0.0480445821433873,0.588803462114143,13297,-0.193912013081253
2012-10-31,864.5,0.418957734919983,0.0170618854829381,0.418957734919983,1.02970479419617,0.0480445821433873,0.655581122906268,10632,-0.097031195427704
2012-11-30,844.75,0.344608038201353,0.0221959159514649,0.344608038201353,1.10027580102954,0.0456176114105497,0.67676385116309,-14294,-0.0472194722019456
2012-12-31,778,0.191880505553428,0.0125321336760926,0.191880505553428,1.1755285881729,0.0422330667619267,0.938897712564351,5346,0.0904442276525775
2013-01-31,779.5,0.194178475679816,0.0109044259140474,0.194178475679816,1.27303362541089,0.0415846319677034,0.683756694492388,5072,0.0823666370302218
2013-02-28,707.75,0.0626876876876881,0.00953726598375138,0.0626876876876881,1.14564046487122,0.0320298122476943,0.894020881802027,-12353,0.200012182553185
2013-03-29,687.75,0.035378246142266,0.00472555434387489,0.035378246142266,1.18194199963325,0.0294805591233854,0.943598735607569,-5713,0.222105373388374
2013-04-30,721.75,0.0923193340900497,0.0128160720471078,0.0923193340900497,1.0206907631371,0.0332962601196317,0.705957266872775,-36258,0.156350248214842
2013-05-31,705.5,0.0891547664994214,0.0141743444365698,0.0891547664994214,1.02366105758417,0.0346729857975252,0.836370483697635,12702,0.125464542862661
2013-06-28,648.5,0.00737864077669936,0.0142636854279106,0.00737864077669936,0.997978939185389,0.0346729857975252,0.857094012208798,-32711,0.202683807624629
2013-07-31,664.25,-0.101150202976996,0.0191945803537825,-0.101150202976996,1.32393550469569,0.0346729857975252,1.97688901010253,18408,0.129001155844408
2013-08-30,643.25,-0.275823247959471,0.0167120093276332,-0.275823247959471,0.0510066672101108,0.0447427460949916,2.46907750531942,-46644,0.117540514363985
2013-09-30,678.5,-0.24819944598338,0.0125276344878409,-0.24819944598338,0.160457286534807,0.0447427460949916,1.62555982917633,496,0.0230976776685714
2013-10-31,667.5,-0.260387811634349,0.0179775280898877,-0.260387811634349,0.140249073438551,0.0444531640113563,3.76656717030271,1989,-0.0253547447448662
2013-11-29,655,-0.242336610757663,0.0209923664122138,-0.242336610757663,0.0422191435651665,0.0102928197576152,4.84689273415196,26122,-0.0243396214639559
2013-12-31,605.25,-0.283515833086712,0.0111524163568772,-0.283515833086712,0.152703282082299,0.0102928197576152,3.78906513398317,23872,0.0240778822209694
2014-01-31,555.75,-0.285668380462725,0.00449842555105717,-0.285668380462725,0.145015316285679,0.00797994163682176,1.22353893692267,31679,0.0695025631345456
2014-02-28,599,-0.23155869146889,0.00542570951585986,-0.23155869146889,0.260406407856998,0.00627708183928269,1.35542872366658,-83321,-0.0320898267347831
2014-03-31,697.25,0.0138131588513271,0.00609537468626753,0.0138131588513271,0.616371819676447,0.0104490300183253,9.17906313770275,6164,-0.242800700045986
2014-04-30,713,0.0367139222101056,0.0119214586255258,0.0367139222101056,0.587201119693124,0.011001661140182,4.13701753026738,-6997,-0.29160965159306
