"Dates","LA1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,2603,0.32789185052927,0.00451402228198239,0.32789185052927,0.324932824899947,0.0305039014722287,5.95594918196551,17361,NA
2011-08-31,2439.75,0.124697476086205,0.00512347576595973,0.124697476086205,0.537548650520038,0.0334131099781977,8.40250572034731,18458,0.080630067453733
2011-09-30,2130.25,0.0446242491111934,0.00516371317920439,0.0446242491111934,0.0669077957992968,0.0347428118042191,2.69092277606021,70080,0.227336134953823
2011-10-31,2202.25,-0.051980198019802,0.00635713474855271,-0.051980198019802,-0.44925331095676,0.0337840214848661,5.73472426367266,28339,0.204211926127144
2011-11-30,2110.75,-0.0913689195006457,0.00153973706028654,-0.0913689195006457,-0.330799640000867,0.0338114107235378,0.694148292568295,101136,0.24664815656744
2011-12-30,1997,-0.114314225523894,0.00500751126690036,-0.114314225523894,-0.259466569654764,0.033130315873104,0.863115398165107,-56656,0.305472875352334
2012-01-31,2208,-0.102165294297042,0.00701992753623193,-0.102165294297042,-0.12559582172341,0.033130315873104,0.298708824609251,-35329,0.207887013005818
2012-02-29,2294.5,-0.0875832587732378,0.00664632817607314,-0.0875832587732378,-0.155354403339236,0.0332717113011131,0.278017164703958,-93714,0.175060262984627
2012-03-30,2094.25,-0.186856920986216,0.00632684732004307,-0.186856920986216,0.0733272719083399,0.033472610135339,0.340909951998139,-17411,0.264510699825323
2012-04-30,2086,-0.245228403437359,0.00767018216682636,-0.245228403437359,0.300937633138498,0.033472610135339,0.366136381683731,-9105,0.268457837298524
2012-05-31,1962.5,-0.289914066033469,0.00611464968152875,-0.289914066033469,0.414773698901128,0.0360548403952456,0.450273101076826,24347,0.313232337492269
2012-06-29,1882.75,-0.292531705025834,0.00650644004780232,-0.292531705025834,0.424664890371466,0.0380523669005677,0.505204268031744,-15795,0.353503008561498
2012-07-31,1859.75,-0.285535920092201,0.00914101357709374,-0.285535920092201,0.466672126079214,0.0380523669005677,0.754434342999655,-5269,0.352185370596296
2012-08-31,1890.75,-0.27362658470995,-0.001851117281502,-0.27362658470995,0.341761845858685,0.0362652771465377,1.83713689612432,-1661,0.343749902432996
2012-09-28,2089.25,-0.143662260477508,0.0071796099078616,-0.143662260477508,0.209550671257926,0.0342763486537474,0.855295322838766,22163,0.238823101320254
2012-10-31,1887,-0.114188475531041,0.00688924218335973,-0.114188475531041,0.411161251051258,0.0342763486537474,1.98533141574464,-22917,0.351918634099319
2012-11-30,2101.25,-0.0458621864002723,-0.00856632956573466,-0.0458621864002723,0.400026288974675,0.0261743134571532,0.912870291638396,-12723,0.245814194161058
2012-12-31,2046.5,0.024787180771157,0.00708526752992911,0.024787180771157,0.249335867932889,0.0341995306329678,1.94193297099275,-20391,0.281801143961068
2013-01-31,2062.5,0.0327991987981975,0.00678787878787879,0.0327991987981975,0.252132627224888,0.0355385382418786,1.96945633035915,-9021,0.280417990538985
