"Dates","LN1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,24966,0.267760117808358,0.000680926059440923,0.267760117808358,-0.420408579894604,0.0318491587991681,1.33052941480046,2055,NA
2011-08-31,22166,0.0507703247214979,0.000721826220337451,0.0507703247214979,-0.19071279337427,0.0217704390110533,1.46948140822411,-2684,0.242000035380274
2011-09-30,17576,-0.149150409062304,0.000512061902594452,-0.149150409062304,-0.428745639263454,0.0147039817419575,3.95662213392751,439,0.557367442575984
2011-10-31,19559,-0.147124231456853,0.000511273582493921,-0.147124231456853,-0.501339425796101,0.0117992122111267,1.07350832765923,-1244,0.567644551136328
2011-11-30,17492,-0.237256355470283,0.00085753487308482,-0.237256355470283,-0.336417363353797,0.0118622970753443,0.567306992375305,13395,0.679336456141035
2011-12-30,18731,-0.185998000956064,-0.00160162297795097,-0.185998000956064,-0.405765553784874,0.0140799297201609,0.521703524643432,5287,0.668753800821927
2012-01-31,20792,-0.158729516487963,0.00153905348210848,-0.158729516487963,-0.376242675516021,0.0140799297201609,0.506183536644149,-9289,0.583971224562596
2012-02-29,19186,-0.298064610544031,0.00156364015427912,-0.298064610544031,-0.168626852017238,0.0137615469077122,0.478916143068831,1504,0.68735583307498
2012-03-30,17765,-0.386927563239811,0.00146355192794823,-0.386927563239811,0.0517629619911982,0.00965363205965448,0.535411010845458,-752,0.75906123284517
2012-04-30,17834,-0.335642974221428,0.00157003476505557,-0.335642974221428,-0.0309118151537587,0.00965363205965448,0.520249600815533,1919,0.755184714605473
2012-05-31,16169,-0.397668007748473,0.00160801533799249,-0.397668007748473,0.0860035036889841,0.015061292683876,1.10626661898694,6556,0.829130998194113
2012-06-29,16703,-0.291885704595557,0.000538825360713702,-0.291885704595557,-0.165558917768222,0.0165860363540303,1.00803050680529,377,0.8022425557216
2012-07-31,15816,-0.366498437875511,0.00132776934749623,-0.366498437875511,0.0722270529208324,0.0165860363540303,1.71471620169462,-5628,0.818932816642548
2012-08-31,15909,-0.362773371785629,0.00132000754290029,-0.362773371785629,-0.00652607073726291,0.0168380898856855,6.83254434063994,6791,0.796507553980144
2012-09-28,18439,-0.168140395199856,0.00108465751938835,-0.168140395199856,-0.0789137934900837,0.0155804403092533,2.49532504216738,-11075,0.628614685279326
2012-10-31,16149,-0.0811902594446972,0.000866926744690133,-0.0811902594446972,0.28254420320137,0.0155804403092533,5.86361863704945,1370,0.7079252447496
2012-11-30,17612,-0.0995449665115801,0.00107880990233933,-0.0995449665115801,0.28167693029964,0.00864637218287991,2.46157824037835,2732,0.554047155025745
2012-12-31,17008,-0.0919865463669851,0.00158748824082777,-0.0919865463669851,0.422044618235282,0.0275575267066939,1.66142038618751,9634,0.500001734143123
2013-01-31,18282,-0.0239709572366663,0.00120336943441646,-0.0239709572366663,0.266264803729211,0.0291729899284776,2.12763738435847,-6019,0.400597728017477
2013-02-28,16548,-0.20411696806464,0.00126903553299496,-0.20411696806464,0.539985251033093,0.0189837669740626,4.86939206885389,2002,0.487201527007916
2013-03-29,16602.5,-0.134655477952674,0.00141544948049988,-0.134655477952674,0.408763373728212,0.0168517647049995,5.10225635516516,-2687,0.439844689393741
2013-04-30,15329.5,-0.13709541232761,0.0018591604422844,-0.13709541232761,0.408047833797497,0.0188177649370247,0.962430239070691,-4584,0.486369699950514
2013-05-31,14766,-0.172030952113939,0.00169307869429769,-0.172030952113939,0.504830390416739,0.0197650617958163,0.750848376071487,507,0.410813066363534
2013-06-28,13655.5,-0.155451790463232,0.00183076416096073,-0.155451790463232,0.524025903862695,0.0197650617958163,0.939242396640733,7985,0.471815206685751
2013-07-31,13818,-0.172723462850985,0.00173686495874947,-0.172723462850985,0.583654061992995,0.0197650617958163,0.954483978238288,625,0.367395852196114
