"Dates","S_1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,1354.25,0.427780706378492,-0.00424589256045782,0.427780706378492,0.23432043824107,0.0222841477059844,7.56157269533841,-5141,NA
2011-08-31,1449,0.376722090261282,0.00586611456176667,0.376722090261282,0.250205884274047,0.0252042693847024,1.19160984950242,73246,-0.847112073113097
2011-09-30,1179,0.169642857142857,0.00890585241730291,0.169642857142857,-0.841323024531247,0.0278994749592373,11.796507351238,-21466,-0.61873633412702
2011-10-31,1207.5,-0.0150897226753672,0.00807453416149073,-0.0150897226753672,-0.911388889318365,0.0273206169896091,0.904502506018383,-48035,-0.61610307153494
2011-11-30,1131.25,-0.0772838499184342,0.00861878453038667,-0.0772838499184342,-0.741364713426227,0.0273628147081811,0.62486817031873,3290,-0.550874181022348
2011-12-30,1198.5,-0.0358004827031374,0.00771798080934505,-0.0358004827031374,-0.771536436558644,0.0301034583251028,0.541940744284979,-65462,-0.559744161760176
2012-01-31,1199,-0.139730941704036,0.00792326939115928,-0.139730941704036,-1.20062853743664,0.0301034583251028,0.704171040506135,40773,-0.53364009590389
2012-02-29,1313.5,-0.0704175513092713,0.00494861058241347,-0.0704175513092713,-0.946802231824946,0.0304954668639922,0.41221283242017,48235,-0.610297371420327
2012-03-30,1403,0.0337078651685392,0.0037419814682822,0.0337078651685392,-1.12007835315375,0.0285994080522653,0.36874341395253,171897,-0.590150468602961
2012-04-30,1503,0.0791599353796444,0.00166333998669321,0.0791599353796444,-1.10558525628263,0.0285994080522653,0.375987241659987,75435,-0.659000778253474
2012-05-31,1340,-0.0378747083108959,-0.0128731343283582,-0.0378747083108959,-0.819226336493786,0.0350257736142756,0.903163988806711,-28371,-0.47890651804276
2012-06-29,1512.75,0.0993822674418603,-0.020492480581722,0.0993822674418603,-0.75016133009613,0.0313280094658215,0.617796844861657,2148,-0.585756006221607
2012-07-31,1721,0.270814103747462,-0.0373329459616502,0.270814103747462,-0.807749841804378,0.0313280094658215,0.514843689482136,-9577,-0.631694697351178
2012-08-31,1764.5,0.302935203987447,-0.00453386228393315,0.302935203987447,-0.850647758463569,0.0312560470749943,0.407850684671519,-15443,-0.591372220846466
2012-09-28,1601,0.104899930986887,0.00109306683322918,0.104899930986887,-0.530332953691821,0.0328430518079772,0.479062757737104,-20257,-0.476919011608515
2012-10-31,1547,0.312128922815945,0.00113122171945701,0.312128922815945,-0.234156390515214,0.0328430518079772,0.36865333148243,-91013,-0.386612075549809
