"Dates","HG1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,447.95,0.525715258855585,0.00468802321687689,0.525715258855585,0.860881985541101,0.0648333569112813,1.12730315405735,25524,NA
2011-08-31,418.7,0.264381700135889,0.00417960353475033,0.264381700135889,0.922111118954208,0.0655573669658268,0.957601263484032,-42931,-0.300942241778826
2011-09-30,315.2,-0.0621838738470697,0.00666243654822352,-0.0621838738470697,-0.942480031433845,0.0668047418220635,2.78913564370035,5288,0.00656760892468598
2011-10-31,363.2,-0.0271862863265037,0.00550660792951541,-0.0271862863265037,-0.618527076257317,0.0624915930961969,0.948255886943498,7739,-0.111410555463396
2011-11-30,356.3,-0.0456676041248162,0.00350827953971367,-0.0456676041248162,-0.601014310626314,0.0625022935080542,0.305274956558247,-12527,-0.0922299813480481
2011-12-30,343.6,-0.101229400993984,0.00334691501746209,-0.101229400993984,-0.475380719076914,0.0615708604367389,0.321329307460491,5944,-0.0565054420051198
2012-01-31,379,-0.147740049471554,0.00290237467018484,-0.147740049471554,-0.774204083874196,0.0615708604367389,0.246296935429646,30799,-0.15016701431796
2012-02-29,387.05,-0.131882920264663,0.00232528097145068,-0.131882920264663,-0.806534979084153,0.0616460181062536,0.250395850633999,1354,-0.179097203707056
2012-03-30,382.5,-0.145824028584189,0.00222222222222235,-0.145824028584189,-0.771339534029333,0.060645617182418,0.254596015243642,-6505,-0.164147834579843
2012-04-30,383.35,-0.0797023166486618,-0.00104343289422204,-0.0797023166486618,-0.90334372576503,0.060645617182418,0.27654880781976,-1239,-0.166367591318156
2012-05-31,336.55,-0.192053775057016,0.00237706135789639,-0.192053775057016,-0.67169500853043,0.0656106365636449,0.445869789489943,7316,-0.0352529599858995
2012-06-29,349,-0.16457211250748,0.0018624641833811,-0.16457211250748,-0.71879028202653,0.0683331695378624,0.418349187965064,-11945,-0.069594259816391
2012-07-31,341.75,-0.237080031253488,0.00336503291880019,-0.237080031253488,-0.518985197837971,0.0683331695378624,0.457893222001707,2006,-0.0435901575033487
2012-08-31,345.4,-0.228931800424155,0.000868558193398927,-0.228931800424155,-0.599540733490564,0.0645727360395915,0.576762850474196,-6039,-0.0250768563727165
2012-09-28,375.8,-0.10245999522331,0.00212879191059079,-0.10245999522331,-0.787647806820864,0.0634029028552072,0.55782567995547,12854,-0.0938322056668365
2012-10-31,351.75,0.115958121827411,0.00312722103766894,0.115958121827411,0.231534610437397,0.0634029028552072,0.795059274910013,7209,-0.00112687162854216
2012-11-30,362.95,-0.000688325991189176,0.00564816090370579,-0.000688325991189176,-0.17489131478728,0.0583048479158889,0.717854209232528,-16052,-0.0310601353182916
2012-12-31,365.25,0.063009313154831,0.00260095824777551,0.063009313154831,-0.394209814108573,0.0760649761580334,0.865420480636301,5802,-0.0240841962985493
2013-01-31,373.2,0.0861466821885912,0.00348338692390149,0.0861466821885912,-0.464939643729123,0.0776581974697084,0.696086699063146,30601,-0.0435494684961539
2013-02-28,352.75,-0.0692612137203165,0.00566973777462798,-0.0692612137203165,-0.545705361280775,0.0662145023618355,1.16670635009328,-16596,0.0110420480549187
2013-03-29,340.2,-0.121043792791629,0.00587889476778369,-0.121043792791629,-0.338901612818657,0.0640481015661854,1.45427163914047,19078,0.0458693601722673
2013-04-30,318.75,-0.166666666666667,0,-0.166666666666667,-0.176897373092036,0.0650369200106279,299.517575482319,-13589,0.0948941693386337
