"Dates","BO1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,55.65,0.533902976846747,0.00269541778975735,0.533902976846747,0.424133057763352,0.0511372874619028,5.8542773475485,-8086,NA
2011-08-31,58.55,0.46999748932965,0.00239111870196407,0.46999748932965,0.557919468931892,0.0529695215228361,1.10165654610283,8326,-0.794188790131865
2011-09-30,49.95,0.265197568389058,0.00520520520520518,0.265197568389058,-0.282530134047808,0.0560820061278777,4.01415941972749,-5111,-0.60981546891564
2011-10-31,51.17,0.0379310344827584,0.00508110220832525,0.0379310344827584,-0.326098529477487,0.0553525417200709,0.840526159431166,25752,-0.597280484768065
2011-11-30,49.27,-0.000608519269777119,0.00466815506393337,-0.000608519269777119,-0.209937727358452,0.0553804997695721,0.324223088465247,14105,-0.559442438506936
2011-12-30,52.09,0.0284304047384005,0.00633518909579567,0.0284304047384005,-0.252599827603186,0.0583108648531846,0.293746472525611,-46858,-0.564445276016155
2012-01-31,50.87,-0.118981641842744,0.0086494987222332,-0.118981641842744,-1.08842210865722,0.0583108648531846,0.31075633034782,53085,-0.511571896220313
2012-02-29,54.09,-0.0654803040774018,0.00702532815677559,-0.0654803040774018,-0.975294549364113,0.0585447926385547,0.247296222606987,-23038,-0.562674784941513
2012-03-30,55.1,-0.0294169455698433,0.00744101633393823,-0.0294169455698433,-1.10465737755551,0.0584725643768745,0.240134404682952,60221,-0.510573588580545
2012-04-30,54.66,-0.0596937897815242,0.0071350164654227,-0.0596937897815242,-1.00103132023843,0.0584725643768745,0.273089896129269,1401,-0.502556052921598
2012-05-31,49.2,-0.153621193875796,0.00447154471544708,-0.153621193875796,-0.72950803238673,0.0625221575423471,0.512207281421482,31397,-0.334104809794248
2012-06-29,52.21,-0.107368780988203,0.00344761539934879,-0.107368780988203,-0.709994351082816,0.0609498351905678,0.434632617556315,-50174,-0.379283375387143
2012-07-31,52.55,-0.0557053009883199,0.00437678401522357,-0.0557053009883199,-0.865964277404006,0.0609498351905678,0.307065938980062,-19753,-0.307974902582856
2012-08-31,56.42,0.0138364779874214,0.00407656859269756,0.0138364779874214,-0.906592994095738,0.0620112778600513,0.273070417904986,8631,-0.304575620252965
2012-09-28,52.18,-0.108795900939368,0.00919892679187417,-0.108795900939368,-0.591074198401333,0.0615814153954292,0.331268305497695,-44369,-0.203960672008591
2012-10-31,50.16,0.00420420420420387,0.00737639553429026,0.00420420420420387,-0.295142551548179,0.0615814153954292,0.392213401486297,43323,-0.104631491257728
2012-11-30,49.41,-0.0343951534102016,0.00667880995749859,-0.0343951534102016,-0.154113283210554,0.0597640019222249,0.408982205632222,-15162,-0.0430572476246524
2012-12-31,49.16,-0.0562488001535804,0.0109845402766477,-0.0562488001535804,-0.151867643785247,0.0593031861255872,0.538796617599028,-13216,0.0317656496219504
2013-01-31,52.86,0.01478210789019,0.00794551645856978,0.01478210789019,-0.208825972585459,0.058750725121099,0.308559702817562,20394,-0.0294764400232301
2013-02-28,48.82,-0.0402988008649499,0.0061450225317492,-0.0402988008649499,-0.154195310816917,0.0464704655527633,0.490737093968611,-5474,0.0718155942186349
2013-03-29,50.11,-0.0735810685893882,0.00478946318100193,-0.0735810685893882,-0.141739286967384,0.0427877305003096,0.4499495184336,10759,0.0961328241658586
2013-04-30,49.13,-0.108348457350272,0.00183187461835943,-0.108348457350272,-0.00681986801788298,0.0517951555501581,0.441246568639048,7435,0.0988719754251339
2013-05-31,48.38,-0.114892060007318,0,-0.114892060007318,0.0203254242679346,0.0499937151460927,0.476516789724848,37837,0.0702322849899618
