"Dates","CL1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,95.7,0.265370884569615,0.00449320794148367,0.265370884569615,-0.472083803807723,0.063587437465091,3.0621147899138,-1424,NA
2011-08-31,88.81,0.124889170360988,0.00394099763540146,0.124889170360988,-0.216155863286292,0.0655725024726948,12.2988777498721,2193,-0.29970407675397
2011-09-30,79.2,0.101223581757508,0.00164141414141405,0.101223581757508,-0.266108875424705,0.0686102586357581,3.11959789678969,-110894,-0.17998163919499
2011-10-31,93.19,0.144418518973351,-0.00118038416139066,0.144418518973351,0.0993704934259229,0.0638166192737059,2.87469051368326,-68409,-0.351052020676174
2011-11-30,100.36,0.232469605796389,0.00099641291351138,0.232469605796389,-0.0262864696684549,0.0637743576086545,0.399866769353971,-40994,-0.425175322376831
2011-12-30,98.83,0.175008916894543,0.00172012546797529,0.175008916894543,0.086970830127649,0.0664409285854105,0.409493917332769,24827,-0.41239682069196
2012-01-31,98.48,0.0776975268111182,0.00375710804224205,0.0776975268111182,0.276931292553738,0.0664409285854105,0.258350999706428,71557,-0.403830033648496
2012-02-29,107.07,0.161405792385291,0.00420285794340147,0.161405792385291,0.115331932591711,0.0667803762585921,0.25636257843625,143573,-0.498467548384578
2012-03-30,103.02,0.0623904300299061,0.00504756357988745,0.0623904300299061,0.30992609699715,0.0657542269613681,0.270682221414745,7487,-0.431450173688593
2012-04-30,104.87,-0.0795225138242781,0.003718890054353,-0.0795225138242781,0.625117081732416,0.0657542269613681,0.290679165960036,28249,-0.449248517397468
2012-05-31,86.53,-0.240498551742298,0.00369813937362751,-0.240498551742298,0.343579775606442,0.0747810839596733,0.567748522965833,-141362,-0.192915393108206
2012-06-29,84.96,-0.172736124634859,0.00482580037664793,-0.172736124634859,0.248854531268369,0.0772378603955223,0.598729690088014,1446,-0.165051582648898
2012-07-31,88.06,-0.0798328108672935,0.00317965023847377,-0.0798328108672935,0.0472919129274185,0.0772378603955223,0.626077592972651,-43509,-0.144172500178519
2012-08-31,96.47,0.00804597701149445,0.00300611589095068,0.00804597701149445,-0.0915028519423676,0.0787980676778571,0.49679168501141,135336,-0.192237313925164
2012-09-28,92.19,0.038058777164734,0.00401345048269874,0.038058777164734,-0.12737249019025,0.0779113049322116,0.571508259626559,17253,-0.128384509957604
2012-10-31,86.24,0.0888888888888892,0.00568181818181834,0.0888888888888892,-0.119724231722597,0.0779113049322116,0.989248980585229,57969,0.000927213789192267
2012-11-30,88.91,-0.0459276746432017,0.00652345068046345,-0.0459276746432017,-0.690808485844705,0.0725693251041984,0.869775002435358,-54355,0.0239109026620405
2012-12-31,91.82,-0.070929879591217,0.00490089305162278,-0.070929879591217,-0.744470853004467,0.08893490885168,0.782277271691982,-78616,0.0762236185207336
2013-01-31,97.49,-0.0135586360416876,0.00482100728279833,-0.0135586360416876,-0.846520899897288,0.0882282700566881,0.539008494372367,98696,0.0355154045094335
2013-02-28,92.05,-0.0652924451665312,0.0044541010320478,-0.0652924451665312,-0.673437719077164,0.0799575613918701,0.848638387334019,87645,0.111571497131877
2013-03-29,97.23,-0.091902493695713,0.00267407178854251,-0.091902493695713,-0.769880729077758,0.0787409403845869,0.699835355043495,57266,0.11070928885143
2013-04-30,93.46,-0.0927975150456221,0.00235394821313939,-0.0927975150456221,-0.766526624897606,0.0802296495974895,0.993597985896261,54241,0.144119180322785
2013-05-31,91.97,-0.123009440259369,0.00260954659127965,-0.123009440259369,-0.677157622369383,0.0788243466267037,1.25153253588656,-28443,0.101313394635951
2013-06-28,96.56,0.115913555992142,-0.00124275062137535,0.115913555992142,-0.0113631231411198,0.0788243466267037,0.533160623683523,74934,0.0632528721369178
2013-07-31,105.03,0.236228813559322,-0.00771208226221087,0.236228813559322,-0.193823346802269,0.0788243466267037,0.516499205921244,34837,-0.108760516732249
2013-08-30,107.65,0.222461957756075,-0.0052949372967952,0.222461957756075,-0.154375560993292,0.105311265455749,0.485089193164545,-6954,-0.172524409587228
2013-09-30,102.33,0.109990237552879,-0.00420209127333127,0.109990237552879,-0.143190990187908,0.105311265455749,0.427516534268046,12745,-0.132243209087204
2013-10-31,96.38,0.0454496149256964,0.00280141108113718,0.0454496149256964,-0.00988714098608683,0.105960718164355,0.714471378207713,-101115,-0.153125617565685
2013-11-29,92.72,0.0751391465677176,0.00312769628990517,0.0751391465677176,0.0245222773544657,0.0649391812060603,0.845313052960407,-123705,-0.159260391474157
2013-12-31,98.42,0.106962096502081,0.00132086974192225,0.106962096502081,-0.0234731706578491,0.0649391812060603,0.758470304255669,-17648,-0.276443816003638
2014-01-31,97.49,0.0617512524504462,-0.00800082059698437,0.0617512524504462,0.136576011070204,0.0634032362285639,1.18689692110939,-43431,-0.342426632470373
2014-02-28,102.59,0.0523130577495126,-0.00682327712252662,0.0523130577495126,0.140709574634124,0.0626986865512919,0.938103065378777,98171,-0.461739467044747
