"Dates","JN1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,380.9,0.110495626822157,-0.00157521659228133,0.110495626822157,0.181149756970004,0.050141002629413,1.43321252111727,508,NA
2011-08-31,364.5,0.199802501645819,0.00301783264746236,0.199802501645819,0.240631051226756,0.0592201141224786,1.60969472263556,-6579,-0.384074755576595
2011-09-30,301.8,-0.0277061855670103,0.00430748840291595,-0.0277061855670103,0.100438868027226,0.0664712378637805,2.83105945312443,3755,-0.190984140914073
2011-10-31,301.2,-0.0513385826771655,0,-0.0513385826771655,0.14328967399321,0.06593501599005,1.35510971567046,-242,-0.176891439484587
2011-11-30,251,-0.209448818897638,0.0199203187250996,-0.209448818897638,0.18007272142567,0.0660296912844968,0.408514864330614,-244,0.00543011730936749
2011-12-30,247.5,-0.31077694235589,0.0121212121212122,-0.31077694235589,0.326733046345543,0.0615543749622472,0.415657713006597,2804,0.0138584603499091
2012-01-31,301.5,-0.255739323623797,0.00232172470978442,-0.255739323623797,0.5690260678361,0.0615543749622472,0.397202280102235,447,-0.202875786794165
2012-02-29,319.4,-0.332776269062043,0.0046963055729492,-0.332776269062043,0.565005400315498,0.0618182712264828,0.385248018139129,247,-0.271601115822958
2012-03-30,309,-0.381381381381381,0.00873786407766985,-0.381381381381381,0.734896939973509,0.0642309572818385,0.400642740336365,459,-0.216290067524199
2012-04-30,298,-0.321184510250569,0.00671140939597326,-0.321184510250569,0.656665459373137,0.0642309572818385,0.461751929117948,-6609,-0.180042277131858
2012-05-31,263.8,-0.399088838268793,-0.00303260045489007,-0.399088838268793,0.767586745730886,0.0683965017053379,0.607042519351339,3336,-0.0339880287698636
2012-06-29,235.7,-0.440673943996203,-0.00042426813746288,-0.440673943996203,0.834102013521812,0.0668014896098249,0.738588730703447,-1781,0.105721078564052
2012-07-31,213.7,-0.438960357049094,0.0280767430978006,-0.438960357049094,0.947840261646641,0.0668014896098249,0.870343926416753,-366,0.225494911619832
2012-08-31,215.8,-0.433447098976109,-0.00463392029657095,-0.433447098976109,0.870826576428354,0.0633674830085035,1.26731458611961,2793,0.220731004908826
2012-09-28,257.1,-0.294650205761317,-0.000388953714508089,-0.294650205761317,0.644817278797779,0.0628851782974595,0.925989154718724,507,0.0483702529621306
2012-10-31,243.1,-0.194499668654738,0.00987248046071576,-0.194499668654738,0.75958490775584,0.0628851782974595,1.75518651799511,359,0.112442300748035
2012-11-30,246.6,-0.181274900398406,0.00648824006488247,-0.181274900398406,0.725532238026533,0.0585946651402983,1.65061924260597,2580,0.110959634428876
2012-12-31,288.8,0.166868686868687,-0.000692520775623207,0.166868686868687,0.52352549263387,0.0683656177611786,1.05388703159383,-7114,-0.0246551017518989
2013-01-31,293.3,0.185050505050505,0.004091374019775,0.185050505050505,0.556898482750996,0.0655338321087364,1.36004685363879,12414,-0.0253117556741736
2013-02-28,275.2,-0.0872305140961857,0.00835755813953498,-0.0872305140961857,0.782156535487935,0.0584738259462603,2.56302486480822,-7778,0.0458384607547035
2013-03-29,260.8,-0.183469004383218,0.00958588957055206,-0.183469004383218,1.02542223367814,0.0580745153453,3.78883057727312,-2119,0.1387247646185
2013-04-30,251.3,-0.18673139158576,0.00875447672105056,-0.18673139158576,1.03100869238794,0.0627697719834144,4.97079421277674,-3337,0.165512190278662
2013-05-31,248,-0.167785234899329,0.00766129032258056,-0.167785234899329,0.99064569610393,0.0608324256538232,1.21838534348659,-2396,0.099502822101079
2013-06-28,232.3,-0.119408642911296,0.00129143349117511,-0.119408642911296,1.09548117965642,0.0608324256538232,1.12670368145657,1276,0.169740958223291
2013-07-31,239.7,0.0169707254985152,-0.0129328327075511,0.0169707254985152,1.06756927969664,0.0608324256538232,4.53531972035389,1439,0.0494913445183659
2013-08-30,256.4,0.199812821712682,0.00936037441497684,0.199812821712682,0.953672590594962,0.071164681270216,64.8738498026284,6561,-0.0643385331361846
2013-09-30,251.1,-0.0233372228704781,0.00756670649143776,-0.0233372228704781,1.19353440298104,0.071164681270216,7.22801527300162,-568,-0.061666416121023
2013-10-31,248.1,-0.0350058343057174,0.0124949617089882,-0.0350058343057174,1.28909807189,0.0711367360211336,3.96956002412185,2448,-0.114625529318355
2013-11-29,262.8,0.0810366104483755,0.000380517503804967,0.0810366104483755,1.02767952438712,-0.00805276842623332,13.124109081476,-2556,-0.221798010408597
2013-12-31,279.8,0.13463098134631,-0.0139385275196571,0.13463098134631,0.830134451414155,-0.00805276842623332,3.55672552778861,-4964,-0.343092219974304
2014-01-31,223.6,-0.225761772853186,-0.012969588550984,-0.225761772853186,-0.94646802666313,-0.0160742650334611,0.827290910717349,8156,-0.17940850647631
2014-02-28,222,-0.24309580634163,0.00585585585585591,-0.24309580634163,-0.908918803327403,-0.0159086609677423,0.506893480948579,4579,-0.24123030921428
2014-03-31,249.2,-0.0444785276073618,-0.0020064205457464,-0.0444785276073618,-0.832109581396037,-0.0131353914393111,0.61247081098606,-6231,-0.41763917150703
2014-04-30,203.9,-0.218174846625767,0.0073565473271211,-0.218174846625767,-0.667542664569041,-0.0158620726301962,0.586105156577525,3184,-0.230555795992149
2014-05-30,185.9,-0.260246717071229,0.015599784830554,-0.260246717071229,-0.543666529879035,-0.0144687891915989,0.517041197969237,3102,-0.0799941463040962
2014-06-30,200.1,-0.138613861386138,0.00849575212393816,-0.138613861386138,-0.709855841488461,-0.0144687891915989,0.639129883579095,-4395,-0.153602493166386
2014-07-31,198.4,-0.145931984502798,0.018649193548387,-0.145931984502798,-0.743763278261968,-0.0143516833849924,0.728241825438614,-1976,-0.0276381847709977
2014-08-29,186.4,-0.222361284939508,0.00321888412017168,-0.222361284939508,-0.554371133734879,0.00209672328795929,0.649910416328194,305,0.0981592192681456
2014-09-30,171.1,-0.332683307332293,0.0175336060783167,-0.332683307332293,-0.327044393779981,-0.000752009318881059,0.612512956777159,5415,0.183805940621489
2014-10-31,192.6,-0.232974910394265,0.0072689511941848,-0.232974910394265,-0.319248649523461,-0.0102986027033092,1.24143279800751,-6653,0.195297156975137
2014-11-28,187.5,-0.244256348246675,0.0170666666666666,-0.244256348246675,-0.289595798760666,-0.0102986027033092,1.14217471248487,4589,0.249564750338653
2014-12-31,196.7,-0.251522070015221,0.0284697508896798,-0.251522070015221,-0.283673662552529,-0.0102986027033092,4.39381652540879,-637,0.300195837488953
2015-01-30,191.3,-0.316297355253752,0.0141139571353894,-0.316297355253752,-0.154862671850069,-0.00573929059760916,3.20184242440633,-2212,0.369841333437635
2015-02-27,222.1,-0.00670840787119831,0.00315173345339947,-0.00670840787119831,-0.0294938259804053,-0.00573929059760916,1.89984136210566,-527,0.246726401730264
2015-03-31,208,-0.0630630630630632,0.00480769230769229,-0.0630630630630632,0.0681576160024328,-0.00573929059760916,1.20340330236633,706,0.346538686038888
2015-04-30,213.7,-0.142455858747994,0.00935891436593361,-0.142455858747994,0.130395170050512,-0.00644178046929886,1.35695297741878,-1957,0.352707543510047
2015-05-29,229.5,0.125551741049535,0.00305010893246171,0.125551741049535,0.3732055227405,0.00558999757598592,2.73903244364595,5541,0.30040041463647
2015-06-30,205,0.102743410435718,0.0151219512195122,0.102743410435718,0.302956304963103,0.00379912664322657,93.2283486622053,-5469,0.445935821424206
2015-07-31,192.8,-0.0364817591204397,0.017116182572614,-0.0364817591204397,0.574547638195494,-0.00410616053514577,5.2419661609631,3204,0.597350627308507
2015-08-31,165,-0.11480686695279,0.0133333333333332,-0.11480686695279,0.319138993110962,0.00596794077503851,2.86967218748851,1373,0.802839210740312
2015-09-30,153.4,-0.177038626609442,0.0123859191655802,-0.177038626609442,0.439643876981089,0.0129518587197621,0.716808481364646,-1436,0.875735795707737
2015-10-30,144.9,-0.1531268264173,0.0510697032436163,-0.1531268264173,0.426141867873544,0.0129609061115916,0.629481295791464,-302,0.97134823389704
2015-11-30,153.1,-0.183466666666667,0.0222077073807969,-0.183466666666667,0.380265094458562,0.0129609061115916,0.853803337397089,2064,0.913630981892212
2015-12-31,147.3,-0.2144,0.0176510522742701,-0.2144,0.456496631722026,0.0139201079279571,0.735551934019097,-3431,0.958651882817413
2016-01-29,151.1,-0.231825114387392,0.00330906684315013,-0.231825114387392,0.510661649335769,0.000108537075144465,0.466828552287561,-1169,0.940741188304909
2016-02-29,146.3,-0.341287708239532,0.0191387559808611,-0.341287708239532,0.10279959420247,-0.0153415701247539,0.426783723200446,3034,0.990797348641488
2016-03-31,170,-0.234579018460153,-0.001764705882353,-0.234579018460153,0.527369363052102,-0.00546746731529598,0.922572406090137,-7294,0.833184512908715
2016-04-29,187,-0.100961538461539,0.0160427807486632,-0.100961538461539,0.242630537225989,0.00726071889560113,1.46277806210518,1448,0.757623032621551
2016-05-31,162.3,-0.29281045751634,0.00431300061614293,-0.29281045751634,0.544827546236098,0.00726071889560113,1.0295539428772,-478,0.86710805502124
2016-06-30,167.8,-0.26884531590414,-0.0208581644815257,-0.26884531590414,0.429857013882812,0.0116403352519408,1.66157235315349,6318,0.811307069293924
2016-07-29,184,-0.102439024390244,-0.0108695652173914,-0.102439024390244,0.156310136031499,0.00660248614261672,3.77090513153449,-2858,0.713078564840814
