"Dates","KC1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,239.55,0.458891595615103,0.0169067000626173,0.458891595615103,0.0497273913651447,0.0146115798592217,0.48148121423214,3587,NA
2011-08-31,289.1,0.639818491208168,-0.0029401591144933,0.639818491208168,0.130790192629496,0.016766086931607,0.364764258315167,-471,-0.969830002115973
2011-09-30,228.9,0.294683257918552,0.0137614678899083,0.294683257918552,-0.207853100899973,0.0151255099324692,0.561661578060618,4718,-0.738133719660418
2011-10-31,226.95,0.115507495699189,0.0152015862524786,0.115507495699189,-0.00363024913033883,0.0156814529914612,0.493326461495759,7669,-0.730823958780129
2011-11-30,233.8,0.149176701892357,0.0132591958939263,0.149176701892357,-0.0278668041823774,0.015674015185405,0.379318559368276,-22153,-0.760560278915623
2011-12-30,226.85,0.128887783030605,0.0123429579016971,0.128887783030605,-0.000369886287895543,0.0184939325253257,0.395647982041211,4284,-0.720109197994175
2012-01-31,215.05,-0.105821205821206,0.0137177400604509,-0.105821205821206,0.126113346047433,0.0184939325253257,0.44874062647329,19623,-0.656432118137433
2012-02-29,203.15,-0.170138888888889,0.000492247108048183,-0.170138888888889,0.25631149477597,0.0181856775861698,0.429299152952825,11517,-0.590435999497561
2012-03-30,182.45,-0.328487302171513,0.0139764318991504,-0.328487302171513,0.55098354435762,0.0187952552847062,0.515443764195484,20639,-0.461254221446609
2012-04-30,177.95,-0.405545348254552,0.0089912896881148,-0.405545348254552,0.756577997769347,0.0187952552847062,0.586315252099266,-12356,-0.436280670520354
2012-05-31,160.65,-0.463337230666444,0.0143168378462495,-0.463337230666444,0.874409649472662,0.0256895893266962,1.04885716388617,11244,-0.318073736768996
2012-06-29,170.1,-0.357142857142857,0.00352733686067008,-0.357142857142857,0.58164353229185,0.0230737465892493,0.88967123736253,-18437,-0.377244220960814
2012-07-31,174.4,-0.271968273846796,0.0163417431192661,-0.271968273846796,0.40837890768448,0.0230737465892493,0.562411158479227,-685,-0.381646416356584
2012-08-31,164.55,-0.313087038196619,0.00121543603767837,-0.313087038196619,0.496264448523982,0.0168130884403042,0.766014600175647,1992,-0.293628865941492
2012-09-28,173.5,-0.399861639571083,0.0230547550432276,-0.399861639571083,-0.684589314044314,0.0164360903268651,0.596421357573376,4239,-0.343214414589557
2012-10-31,154.65,-0.32437745740498,0.0303912059489169,-0.32437745740498,0.108263425635028,0.0164360903268651,1.11162984803302,10515,-0.209870591566202
2012-11-30,142.1,-0.373870896673276,0.05981703026038,-0.373870896673276,0.304897684428444,0.0208541467329387,1.60055185119048,-14837,-0.106546130736661
2012-12-31,143.8,-0.366100947762839,0.0201668984700971,-0.366100947762839,0.333850164519379,0.0191206083914407,1.92375130880668,5549,-0.0827216908759151
2013-01-31,146.95,-0.35221512012343,0.0207553589656346,-0.35221512012343,0.17747021947074,0.0174926502584317,1.21312025421427,13111,-0.100350736566278
2013-02-28,142.65,-0.336665891653104,0.00385559060637908,-0.336665891653104,0.102176503426711,0.0138944922419945,1.25968598343013,5774,-0.0590467546737997
2013-03-29,137.15,-0.324883091311838,0.0182282172803501,-0.324883091311838,0.050070197157894,0.0112343520952524,1.49696288680135,13667,0.00370505567907372
2013-04-30,134.95,-0.260345300082214,0.00111152278621707,-0.260345300082214,-0.0836906752465485,0.0192591222629208,2.23435900032908,-10828,0.0155022864952095
2013-05-31,127.05,-0.286035403203147,0.0165289256198349,-0.286035403203147,0.0276862941894232,0.0194160481414177,3.56000491569758,14476,0.0580981094914349
2013-06-28,120,-0.253034547152194,0.00333333333333341,-0.253034547152194,0.0577208498523187,0.0194160481414177,7.81574382033153,-28483,0.120556962539109
2013-07-31,118.6,-0.302763080540858,0.0227655986509274,-0.302763080540858,0.0198564282935208,0.0194160481414177,0.99020264542867,5879,0.108937584174784
2013-08-30,112.1,-0.357224770642202,0.0374665477252454,-0.357224770642202,0.268691998575523,0.0312529205719114,0.827974701932586,-7501,0.148468511219108
2013-09-30,113.7,-0.344668587896253,0.0277044854881265,-0.344668587896253,-0.208697361582,0.0312529205719114,0.859766532764122,6829,0.111902395363376
2013-10-31,105.4,-0.392507204610951,0.02988614800759,-0.392507204610951,-0.0588204699501795,0.032128361620508,0.477529808484804,13614,0.173193760140111
2013-11-29,110.25,-0.28709990300679,0.00544217687074822,-0.28709990300679,0.231670591622769,0.0083006008296753,0.530119370563205,-22386,0.129953571276639
2013-12-31,110.7,-0.220971147079521,0.0203252032520325,-0.220971147079521,0.11049027755251,0.0083006008296753,0.549295513016597,-6006,0.115657537779704
2014-01-31,125.2,-0.129346314325452,0.0159744408945688,-0.129346314325452,1.08726778162027,0.0132938034297891,0.43656237472587,11962,-0.0218014286812164
2014-02-28,179.8,0.223545423613474,0.00278086763070085,0.223545423613474,2.13413791690204,0.00625257749187032,3.77154440854631,7904,-0.395262878896716
2014-03-31,177.9,0.297119941669705,0.0118043844856661,0.297119941669705,1.9918159794735,0.0055533602996864,1.78927521172435,10547,-0.393761903685448
2014-04-30,203.05,0.480495807510025,0.0137897069687267,0.480495807510025,1.80369863568802,0.00734453913462459,2.12148724997681,-15485,-0.52276050861959
2014-05-30,177.5,0.315301963690256,0.0135211267605635,0.315301963690256,1.61397635723985,0.00659807348407861,1.34576478607752,9755,-0.364282615194982
2014-06-30,173,0.441666666666667,0.0121387283236993,0.441666666666667,1.5090019795017,0.00659807348407861,1.81491113673598,-7636,-0.338603600777291
2014-07-31,195.05,0.625416666666667,0.0189694950012818,0.625416666666667,1.40373960785643,0.00488460050041466,32.7099153386686,4688,-0.434068202098486
2014-08-29,195.75,0.650505902192243,0.0278416347381865,0.650505902192243,1.39745536635427,0.0101063271872953,44.74188642634,-11272,-0.424808070951295
2014-09-30,193.35,0.724799286351472,0.0212050685285752,0.724799286351472,1.41968541124835,0.0156909261906361,1.70454322589185,3412,-0.412471754133689
2014-10-31,188,0.653474054529463,0.022872340425532,0.653474054529463,1.42991326321504,0.0188507500661723,7.20205911032618,12742,-0.367961214693153
2014-11-28,186.65,0.770872865275142,0.00428609697294391,0.770872865275142,1.48754070713201,0.0188507500661723,7.40700626128603,-18986,-0.351115946522785
2014-12-31,166.6,0.511111111111111,0.0162064825930373,0.511111111111111,1.405185476395,0.0188507500661723,2.30809659416918,10933,-0.220256182546381
2015-01-30,161.9,0.462511291779585,0.0169857936998148,0.462511291779585,1.41814503519482,0.0161029824499403,1.95394480232544,8651,-0.158249119391067
