"Dates","CC1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,2974,0.0276434001382171,0.0114324142568931,0.0276434001382171,-0.552067910347762,0.0158423602396004,3.85506406389878,12175,NA
2011-08-31,3098,0.00226463927531539,0.0048418334409297,0.00226463927531539,-0.525925085332422,0.0228459171784578,1.3873500966252,-16249,-0.70619312571614
2011-09-30,2608,-0.033358042994811,0.0153374233128833,-0.033358042994811,-0.532072392533342,0.025051147126853,3.96176913019814,22150,-0.509028042648669
2011-10-31,2696,-0.0361101179835538,0.0100148367952522,-0.0361101179835538,-0.511903262364611,0.0244271237685311,1.5547378000595,14955,-0.521557252169367
2011-11-30,2162,-0.227028959599571,0.0661424606845513,-0.227028959599571,-0.361864671043576,0.0245527302958737,4.29090657379408,-38896,-0.300821778336323
2011-12-30,2109,-0.239177489177489,0.0104314841156947,-0.239177489177489,-0.335080248166273,0.0245175369512749,6.18503840159779,11099,-0.235326741162522
2012-01-31,2291,-0.245140032948929,0.0144041903099084,-0.245140032948929,-0.336252653902469,0.0245175369512749,15.8081568597126,-2290,-0.304533011516269
2012-02-29,2383,-0.289081145584725,-0.0205623164078892,-0.289081145584725,-0.321499622552164,0.0246480075202248,2.87832766403631,-5404,-0.33391570875198
2012-03-30,2219,-0.409369177535267,0.0121676430824695,-0.409369177535267,-0.176173245164885,0.0231552227555149,7.38815415191976,9625,-0.214375583084038
2012-04-30,2263,-0.332448377581121,-0.0194432169686257,-0.332448377581121,-0.490111171871684,0.0231552227555149,12.6673343816404,10017,-0.234010305784982
2012-05-31,2083,-0.385545722713864,0.00240038406144993,-0.385545722713864,-0.389156328975,0.0280840875936801,5.54124923068526,8732,-0.123667407243193
2012-06-29,2289,-0.23674558186062,0.00087374399300999,-0.23674558186062,-0.569803024042209,0.0272777314073916,7.83411468272059,-15439,-0.201909266164366
2012-07-31,2376,-0.20107599193006,0.00505050505050497,-0.20107599193006,-0.658948063189469,0.0272777314073916,2.74814848034117,15977,-0.204635493297248
2012-08-31,2656,-0.106926698049764,-0.0173192771084337,-0.106926698049764,-0.647914163603617,0.0337866030862963,4.25247222210154,6629,-0.271859503107698
2012-09-28,2516,-0.18786313750807,0.00556438791732905,-0.18786313750807,-0.461372033049809,0.0327875492409689,5.03344108351469,-835,-0.205277800162795
2012-10-31,2388,-0.0843558282208584,0.00544388609715241,-0.0843558282208584,-0.53274619953914,0.0327875492409689,1.73099490300406,4832,-0.108967637711025
2012-11-30,2538,-0.0586053412462905,-0.0157604412923562,-0.0586053412462905,-0.552150247723753,0.0279198583357672,2.77508331441247,-3741,-0.137792312781073
2012-12-31,2236,0.0602181128496921,0.00447227191413235,0.0602181128496921,-0.129926022813479,0.0350221741789958,1.55170121549601,-7847,0.0445716641220822
2013-01-31,2205,0.0455192034139407,0.00090702947845811,0.0455192034139407,-0.0763671910644905,0.0344420374363891,1.50614931607397,17677,0.0754999410429953
2013-02-28,2146,-0.063291139240506,-0.00512581547064306,-0.063291139240506,0.13428604112106,0.0257804686911831,2.0390502971594,-10216,0.117783035656383
2013-03-29,2170,-0.0893831305077631,0.00691244239631339,-0.0893831305077631,0.21059011724438,0.0232734681198619,2.20298293034567,2050,0.157114742760608
2013-04-30,2368,0.0671473636773325,0,0.0671473636773325,-0.049522239163801,0.0290573242367031,4.79699726814851,10803,0.0704135960139795
2013-05-31,2191,-0.0318161732213875,0.00410771337288907,-0.0318161732213875,0.124981188305826,0.0266962066172646,1.3667540116575,3113,0.146260307945212
2013-06-28,2194,0.0532885261641862,-0.0136736554238833,0.0532885261641862,0.0099437212232778,0.0266962066172646,2.10952758536799,-35857,0.163063828111703
2013-07-31,2298,0.00393184796854551,0.00435161009573548,0.00393184796854551,-0.00183643192388065,0.0266962066172646,2.1385742980261,-2538,0.14083544230588
2013-08-30,2413,0.0155723905723906,0.00953170327393282,0.0155723905723906,-0.0242214404907964,0.0439905452529564,3.33678654316775,10144,0.0972818103961636
2013-09-30,2640,0.0492845786963434,0.00113636363636371,0.0492845786963434,-0.303078162454582,0.0439905452529564,2.29630146753375,26141,0.00440945596341561
2013-10-31,2677,0.0639904610492845,0.00410907732536425,0.0639904610492845,-0.344560314816082,0.0435926097282103,2.77705968304969,12259,-0.0101661525375902
2013-11-29,2791,0.168760469011725,-0.00107488355428165,0.168760469011725,-0.621330779712764,0.00534981777446697,1.99398715438406,-7769,-0.0604403238319091
2013-12-31,2709,0.0673758865248226,0.00258397932816545,0.0673758865248226,-0.389986051552231,0.00534981777446697,2.31776312693296,-9444,-0.0375535912074451
2014-01-31,2911,0.301878354203935,0.00377877018206796,0.301878354203935,-0.167708592270709,0.00822809920170938,2.72007159740716,14041,-0.119932372339035
2014-02-28,2935,0.331065759637188,0.00749574105621797,0.331065759637188,-0.245434921035621,0.00810452636402357,23.0283936707797,-8650,-0.137090896102408
2014-03-31,2955,0.361751152073733,0.00439932318104908,0.361751152073733,-0.394902846079209,0.00819639313174109,2.64835202276994,3611,-0.129289829023878
2014-04-30,2974,0.370506912442396,0.00201748486886344,0.370506912442396,-0.32039515576859,0.00825335826706211,6.81358459465798,-12315,-0.114042819501428
2014-05-30,3071,0.296875,-0.000325626831650938,0.296875,-0.391232226841183,0.00558975700747041,61.1913821250566,17137,-0.101833090208502
2014-06-30,3143,0.432543299908842,-0.00509067769646832,0.432543299908842,0.185800318889437,0.00558975700747041,1.3174455794572,-4065,-0.125007606565247
2014-07-31,3219,0.46718322698268,-0.0102516309412861,0.46718322698268,0.238316484095778,0.00527422611619517,1.05437804020438,3962,-0.118219990380262
2014-08-29,3219,0.400783289817232,0.00310655483069278,0.400783289817232,0.463161978679641,0.0180886186836157,1.05369646592562,-8224,-0.106373535348689
2014-09-30,3300,0.367592208868628,-0.0124242424242424,0.367592208868628,0.633116393942106,0.0213523490082776,1.16003977516899,3819,-0.131225251504452
2014-10-31,2899,0.0981060606060604,-0.00206967919972401,0.0981060606060604,-1.49303454594264,0.0279234032693728,0.880694686935039,-26525,0.0167350307374602
2014-11-28,2880,0.0758311542771755,-0.0128472222222222,0.0758311542771755,-1.38711453613948,0.0279234032693728,1.11097911923886,-11501,0.0402106966046396
2014-12-31,2910,0.0426370476531706,-0.00618556701030926,0.0426370476531706,-1.39232076751432,0.0279234032693728,0.321238411033905,16989,0.036823527551911
2015-01-30,2693,-0.00590623846437799,0.00185666542888963,-0.00590623846437799,-1.14918717215644,0.0295543176481956,0.42186317569319,307,0.129592513420312
2015-02-27,3102,0.0656131913431812,-0.0277240490006447,0.0656131913431812,0.146777745694797,0.0295543176481956,0.387563450049192,14091,-0.00709041185782211
2015-03-31,2699,-0.0804088586030662,0,-0.0804088586030662,-0.0134259668827598,0.0295543176481956,0.57741852284833,5839,0.123545684795382
2015-04-30,2943,-0.00406091370558381,0,-0.00406091370558381,-0.101903493224191,0.0276102674534208,0.452525305320702,-19497,0.0283204311720254
