"Dates","XB1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,311.29,0.510676501989711,-0.0176684120916187,0.510676501989711,-0.515897594910683,0.0742527666436589,2.83960241059442,15330,NA
2011-08-31,303.2,0.439286053356118,-0.0513522427440634,0.439286053356118,-0.383643490540903,0.0779819892054138,1.83053621186125,5629,-0.482367139416501
2011-09-30,262.6,0.38985921456547,-0.0334729626808835,0.38985921456547,-0.531158262523218,0.0881925610375439,3.08986439671168,11926,-0.315563410394377
2011-10-31,264.29,0.255832739368021,-0.014075447425177,0.255832739368021,-0.347646623538184,0.0875401113124491,1.57448162559876,7195,-0.318445454259981
2011-11-30,256.77,0.220099786172488,-0.00362191844841675,0.220099786172488,-0.235140491699245,0.087559211560933,0.374234371574913,-4512,-0.289579211719817
2011-12-30,268.63,0.185899699805756,-0.0107582920746007,0.185899699805756,-0.192910013968759,0.0936914028419113,0.357580411625318,11406,-0.32137737230728
2012-01-31,288.74,0.176993314854068,0.00121216319179873,0.176993314854068,-0.189692559775289,0.0936914028419113,0.303810003044436,48124,-0.403582035042784
2012-02-29,304.23,0.221512888460612,0.0706373467442396,0.221512888460612,-0.278404130941318,0.0939151174501578,0.290885611810417,27347,-0.474200043094483
2012-03-30,338.99,0.241903575615475,-0.0241305053246409,0.241903575615475,-0.252230427659722,0.0873451452462088,0.267810925322724,-4413,-0.550495484120882
2012-04-30,318.44,-0.0809281921034403,-0.0187790478583093,-0.0809281921034403,-0.110740521158738,0.0873451452462088,0.31397525669029,-44782,-0.487958949920973
2012-05-31,282.5,-0.184657123066266,-0.0362123893805311,-0.184657123066266,-0.011541460318387,0.0892084265347046,0.474810297946091,-17040,-0.322151847318273
2012-06-29,272.72,-0.134332148298629,-0.0349809328248754,-0.134332148298629,-0.0841904487226918,0.0935264174960867,0.514816275273813,-19039,-0.272989039853041
2012-07-31,291.46,-0.063702656686691,-0.0481369656213545,-0.063702656686691,-0.204785803913723,0.0935264174960867,0.438122044183208,-21637,-0.299236266104269
2012-08-31,310.56,-0.00234508015034229,-0.042761463163318,-0.00234508015034229,-0.331613835016603,0.0925714292816269,0.445428925574115,36842,-0.327339082039334
2012-09-28,334.2,0.102242744063324,-0.126241771394375,0.102242744063324,-0.517578441286426,0.092522621117647,0.375423261964325,-4992,-0.386250096660188
2012-10-31,276.18,0.0517136329017516,-0.0476138750090522,0.0517136329017516,-0.712508231165525,0.092522621117647,0.513450430389425,-7148,-0.156872321426635
2012-11-30,276.14,0.0448371107495551,-0.0112624031288477,0.0448371107495551,-0.69540067803794,0.0875680673819816,0.513585623021662,1559,-0.125661527949912
2012-12-31,281.2,0.0467929866358934,-0.0178876244665718,0.0467929866358934,-0.714453374177662,0.101279737157396,0.525548629134422,9618,-0.097306006082453
2013-01-31,302.58,0.126382012433459,0.0019498975477561,0.126382012433459,-0.82788793504341,0.100254510802986,0.408846862631502,30561,-0.155719624215819
2013-02-28,291.46,0.00942023966197958,0.0676250600425445,0.00942023966197958,-0.626069949152353,0.0941066079230662,0.516410375325072,15312,-0.103940834682466
2013-03-29,310.54,0.0207408868290437,0.0016745024795517,0.0207408868290437,-0.628068167660097,0.0930402071493798,0.456776410757698,-11672,-0.116197248826799
2013-04-30,280.09,-0.173751438095519,0.000392730907922578,-0.173751438095519,-0.454410166016874,0.0926741839761692,0.7676663461208,-44621,-0.0214720552903467
2013-05-31,277.89,-0.127339530209773,-0.0086365108496167,-0.127339530209773,-0.598165431201548,0.0905351779405212,0.894410063112749,-11642,-0.0861337672613339
2013-06-28,275.2,-0.0258407079646019,-0.0132267441860464,-0.0258407079646019,-0.843424384302184,0.0905351779405212,0.510144001889689,2925,-0.0669574650967801
2013-07-31,304.42,0.116236432971546,-0.0157348400236516,0.116236432971546,-0.90212453328137,0.0905351779405212,0.461365847544134,5444,-0.254364679859225
2013-08-30,301.83,0.035579496328827,-0.0424742404664877,0.035579496328827,-0.784665475156698,0.118920252211179,0.470342148203949,10900,-0.279907841126793
2013-09-30,263.47,-0.21163973668462,-0.00246707405017665,-0.21163973668462,-0.375728300395875,0.118920252211179,0.50961129933758,-47474,-0.152453635026619
2013-10-31,263.37,-0.211938958707361,-0.0177317082431561,-0.211938958707361,-0.435327495171636,0.118572516505916,0.663597359617645,-11874,-0.222661018305905
2013-11-29,268.41,-0.028133825765805,-0.00793562087850697,-0.028133825765805,-0.314378157551508,0.0557449942510374,0.627584494374488,4276,-0.278798256578603
2013-12-31,278.58,0.00883609763163618,0.0000358963313948912,0.00883609763163618,-0.411136623764255,0.0557449942510374,0.691910592211052,15391,-0.374946010768585
2014-01-31,262.72,-0.065718349928876,0.00159866017052357,-0.065718349928876,-0.193578250660657,0.0528149199120131,1.23059731792452,15641,-0.376633099250117
2014-02-28,278.98,-0.0779959019102385,0.0672449637966879,-0.0779959019102385,-0.219710749651835,0.05179804955128,0.98741836546009,15998,-0.495974210574451
2014-03-31,291.1,-0.062600631158627,0.00237031947784261,-0.062600631158627,-0.326494199688043,0.0524782557459863,1.25086844261507,12060,-0.584694444695396
2014-04-30,300.77,-0.0314613254331169,-0.0143963826179472,-0.0314613254331169,-0.437976115029249,0.0527869753808826,3.65659833277211,29876,-0.643385745492289
2014-05-30,299.65,0.069834695990574,-0.00820957784081422,0.069834695990574,-0.589354406608613,0.0541647765606182,3.39946444154262,-5084,-0.588581240463653
2014-06-30,307.7,0.118095930232558,-0.0109522261943451,0.118095930232558,-0.758583617319347,0.0541647765606182,2.71405738064698,13513,-0.615091395887455
2014-07-31,283.11,0.0287427325581395,-0.0118681784465403,0.0287427325581395,-0.536996560011608,0.055507551956472,36.4860434131843,-49066,-0.451060872550793
2014-08-29,278.27,-0.0859010577491621,-0.0574262407014768,-0.0859010577491621,-0.844521710669945,0.0633434569056113,8.13044488269216,-12610,-0.397599119766151
2014-09-30,258.69,-0.142928138356028,-0.0578298349375701,-0.142928138356028,-0.602592567416162,0.0668604177339403,2.75880350965286,26145,-0.324637688018198
2014-10-31,216.95,-0.176566592021862,-0.0100023046784973,-0.176566592021862,-0.886968748632648,0.078448401317016,2.0391575977871,32058,-0.0912561467364225
2014-11-28,190.39,-0.277100656870562,-0.0400756342244866,-0.277100656870562,-0.577733297754046,0.078448401317016,0.923006541079525,-4814,0.0604093541910818
