"Dates","LX1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,2471.5,0.398698358800226,0.00465304470969041,0.398698358800226,-0.111112343740553,0.0641962701780821,0.846898847180459,11024,NA
2011-08-31,2272.25,0.133574457470691,0.00374078556496871,0.133574457470691,0.0750653234612206,0.0630060135495595,0.899427786020587,-20308,0.428078194404144
2011-09-30,1843.25,-0.0964460784313724,0.00393327003933264,-0.0964460784313724,-0.210563712323641,0.0626777306611553,1.70855518333647,9269,0.65724659730381
2011-10-31,1989,-0.171508903467666,0.00276520864756158,-0.171508903467666,-0.104619329673942,0.0599202414801295,1.0631841335827,22350,0.614771111594669
2011-11-30,2078.5,-0.134228886806206,-0.00577339427471735,-0.134228886806206,-0.217830410367618,0.0598858807279857,0.43685573231441,-8740,0.57075663175595
2011-12-30,1830.75,-0.131419760408018,0.00286767718148306,-0.131419760408018,-0.215636421990293,0.0621374181234707,0.557881834117333,-7052,0.690254314449248
2012-01-31,2092.75,-0.144594318414061,0.00346434117787608,-0.144594318414061,-0.335467835087226,0.0621374181234707,0.395704996844611,3795,0.56349268349616
2012-02-29,2098.5,-0.130335681723995,0.00238265427686435,-0.130335681723995,-0.374070344646515,0.0621922872491244,0.408683808471523,-13342,0.566546794216071
2012-03-30,1994.25,-0.201980792316927,0.000501441644728651,-0.201980792316927,-0.190074775810367,0.0627347169219123,0.441966531965148,12715,0.604367799414076
2012-04-30,2055.5,-0.0817511726602639,0.0024324981756263,-0.0817511726602639,-0.475852266968874,0.0627347169219123,0.503381662669931,-6077,0.574116711867382
2012-05-31,1869.5,-0.164842528478892,-0.000936079165552273,-0.164842528478892,-0.311685702890556,0.0643123921730437,0.900233257226438,18846,0.615030494244971
2012-06-29,1881.5,-0.163591909313181,0.000265745415891638,-0.163591909313181,-0.314869119069309,0.0654654604218824,0.88312466864396,-9996,0.584832038050385
2012-07-31,1834.5,-0.257738215658507,0.00149904606159712,-0.257738215658507,-0.052367515505025,0.0654654604218824,0.914281286459674,-12549,0.543958278117017
2012-08-31,1820.75,-0.263301638680963,0.00521763009748732,-0.263301638680963,-0.0863861319542381,0.061462582098901,1.49059272538024,10691,0.532190827526207
2012-09-28,2071.5,-0.0883485531961711,0.0077238715906347,-0.0883485531961711,-0.196511619452638,0.0587875301377999,1.18056935869046,-7837,0.39273931982575
2012-10-31,1838.5,-0.00257697002576951,0.00707098177862386,-0.00257697002576951,0.168962971155005,0.0587875301377999,91.098327987779,4444,0.465665085527124
2012-11-30,2035.75,0.0235042735042734,0.000491219452290359,0.0235042735042734,0.166140530997409,0.0486909479360529,2.90525458061595,8894,0.31622444383774
2012-12-31,2054.5,0.12221767035368,0.0065709418349964,0.12221767035368,0.250799392410784,0.0626870310659473,6.95203703075422,8116,0.2344447472514
2013-01-31,2132.5,0.164823159907142,0.00422039859320056,0.164823159907142,0.194889583350266,0.0656087170459161,1.7650093313338,36,0.17610998212406
2013-02-28,2046.25,-0.022219567554653,0.00415394013439219,-0.022219567554653,0.33238118640052,0.05687312876692,3.68103590424266,-526,0.182898326560067
2013-03-29,1871.25,-0.108291636883488,0.00668002672010681,-0.108291636883488,0.41574166870577,0.0557130703670179,26.3197343425919,-22204,0.198106918907236
2013-04-30,1840.25,-0.0772220132882039,0.00855861975275096,-0.0772220132882039,0.353258277653267,0.0619530779896239,2.53494926723736,-11483,0.19191329001859
2013-05-31,1901,-0.0751641936268547,0.00657548658600726,-0.0751641936268547,0.346920462438219,0.0617906071892151,7.55754523739784,159,0.0600222329574127
2013-06-28,1828,-0.0221984487830971,0.00793216630196936,-0.0221984487830971,0.39104258298212,0.0617906071892151,3.1580586248414,13178,0.0752234212375875
2013-07-31,1813,-0.0364071219771458,0.00689464975179255,-0.0364071219771458,0.435742558462022,0.0617906071892151,19.1377551675553,-6883,-0.000403153086929064
2013-08-30,1876,0.0226219678386479,0.00666311300639655,0.0226219678386479,0.260953177620592,0.0725992479544616,4.91650916571404,15933,-0.0955090678771297
2013-09-30,1888,-0.0885831523050931,0.00807733050847448,-0.0885831523050931,-0.0425883302950267,0.0725992479544616,6.48157588475234,4316,-0.153066198645165
2013-10-31,1927,-0.0697562153029208,0.00661650233523603,-0.0697562153029208,-0.135677126303455,0.0722150978129903,1.87657281873346,8616,-0.233264049533131
2013-11-29,1865,0.0144139243948869,0.00482573726541546,0.0144139243948869,0.288846342543085,-0.0020791562873427,1.46809202515044,7955,-0.234668254477134
2013-12-31,2045,0.00454377993368538,0.00366748166259168,0.00454377993368538,0.121849590089523,-0.0020791562873427,2.89037443078058,9343,-0.351182117674424
