"Dates","JO1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,199.75,0.347386172006745,-0.0463078848560701,0.347386172006745,0.0666470520058727,0.00176525888165859,0.491550955772709,907,NA
2011-08-31,168.55,0.149727148703956,-0.0578463363986947,0.149727148703956,-0.183695664246271,0.000973093687393044,0.579423024126032,-12295,0.0297871883799194
2011-09-30,150,0.0901162790697672,-0.0129999999999999,0.0901162790697672,-0.177938135709777,-0.00208220431147148,0.736610886147756,412,0.170564680590018
2011-10-31,183.9,0.137291280148423,-0.0791190864600327,0.137291280148423,0.174255382670604,-0.00748848020154019,0.414073047472804,2308,-0.00942436805392948
2011-11-30,176.1,0.0890538033395174,-0.0212947189097104,0.0890538033395174,0.279196915207423,-0.00745691386306058,0.336189870253288,1645,0.0339157480541855
2011-12-30,169,0.132707774798927,0,0.132707774798927,0.256721464833127,-0.0072907223911232,0.35428856011174,-2584,0.0543666278486785
2012-01-31,210,0.218450826805918,-0.0314285714285714,0.218450826805918,0.43358097072347,-0.0072907223911232,0.306890255308576,366,-0.173699493183075
2012-02-29,190.55,0.130525066745772,-0.0251902387824718,0.130525066745772,0.46067173124741,-0.00772969899480404,0.328985268661593,-4182,-0.0730824534624504
2012-03-30,164.5,-0.085857182550709,-0.0182370820668692,-0.085857182550709,0.60848811891336,-0.0110085242234569,0.397661423833016,-1631,0.0271114112817476
2012-04-30,140.85,-0.202209005947324,0.00709975150869724,-0.202209005947324,0.699154773295364,-0.0110085242234569,0.541988058052437,-268,0.182326487164793
2012-05-31,112.05,-0.365335598980459,0.0156180276662203,-0.365335598980459,0.676668343309075,0.00500445648540282,1.17613109495104,5187,0.36822369321788
2012-06-29,122.65,-0.327945205479452,-0.0073379535262944,-0.327945205479452,0.583110575173056,0.00849079981676254,0.9649760365797,-2831,0.256551254564134
2012-07-31,109.9,-0.449812265331665,-0.000454959053685311,-0.449812265331665,0.879785431764732,0.00849079981676254,0.800471374677054,331,0.327492846825053
2012-08-31,131.9,-0.339674593241552,-0.098180439727066,-0.339674593241552,0.634909112746481,0.0228202180093226,0.783848931937649,273,0.114726328482014
2012-09-28,113.15,-0.328685849896173,0.00220945647370741,-0.328685849896173,0.641875511299898,0.019765425907392,1.05566540099879,122,0.235382387691828
2012-10-31,106.25,-0.291666666666667,0.00235294117647067,-0.291666666666667,0.610853104616851,0.019765425907392,2.66361420716686,-142,0.239138031837615
2012-11-30,123.25,-0.329798803697662,0.00527383367139955,-0.329798803697662,0.594809386805078,0.00961403243616768,1.43753995534026,-722,0.0570699926011095
2012-12-31,116.05,-0.313313609467456,0.0112020680741061,-0.313313609467456,0.557501730206458,0.0170399602498258,2.37904345497053,585,0.0942912910885441
2013-01-31,119.7,-0.291715976331361,0.00417710944026739,-0.291715976331361,0.505990091009108,0.0164265749673655,4.98390623883735,-1868,0.0505909721149147
2013-02-28,127.15,-0.39452380952381,0.00511207235548561,-0.39452380952381,0.448011538240661,0.0209096728783009,4.6533241363425,-826,-0.0191559626576978
2013-03-29,135.15,-0.290737339281029,-0.00147983721790612,-0.290737339281029,0.217617374464732,0.0222688520723426,2.87215535062759,-628,-0.0954581744767869
2013-04-30,141.4,-0.140425531914894,-0.00707213578500709,-0.140425531914894,0.00204048618928051,0.028216520930711,1.7396119495623,1422,-0.16375384872589
2013-05-31,151.35,0.0745473908413201,-0.000991080277502498,0.0745473908413201,-0.240641353843877,0.0268491216128404,1.35941773767953,2480,-0.304157162934203
2013-06-28,129.9,0.159303882195448,-0.0092378752886837,0.159303882195448,-0.0456012468429029,0.0268491216128404,3.50720125337989,-3829,-0.17023173167449
2013-07-31,143.9,0.173257236037505,0.00138985406532299,0.173257236037505,-0.0540220751271549,0.0268491216128404,2.25580741126806,1192,-0.35456947122245
2013-08-30,136.95,0.246132848043676,0.00292077400511137,0.246132848043676,-0.0752156929648153,0.0465890996018724,2.90381223178979,-3052,-0.358397597250179
2013-09-30,131.3,0.160406539991162,0.0121858339680121,0.160406539991162,-0.13862893157004,0.0465890996018724,2.58755866083731,-1996,-0.34376584328319
2013-10-31,121.55,0.074237737516571,0.00699300699300709,0.074237737516571,0.00750594385129831,0.0478937270310638,9.1332079269632,198,-0.306258985400948
2013-11-29,139.7,0.314823529411764,0.00966356478167518,0.314823529411764,-0.176284086099464,0.020053860819684,5.24304717163663,-1913,-0.464260557561826
2013-12-31,136.45,0.10709939148073,0.0201539025283988,0.10709939148073,-0.112130406714232,0.020053860819684,3.32034119682715,-6,-0.467756810588407
2014-01-31,142.55,0.22834984920293,0.00561206594177466,0.22834984920293,-0.341222171757767,0.0203334674747658,11.9358657060484,1788,-0.536136744152972
2014-02-28,147.75,0.234335839598998,-0.00676818950930624,0.234335839598998,-0.353053327768128,0.0202520068954725,4.85247585068825,-439,-0.595378864627709
2014-03-31,155,0.146873843877174,-0.00516129032258072,0.146873843877174,-0.218984397038895,0.0205423299832747,5.95245537211315,1227,-0.651257765860922
2014-04-30,154.6,0.143914169441362,0.0388098318240622,0.143914169441362,-0.183452860882144,0.0199799587964626,5.20958039283021,3173,-0.627809769743224
2014-05-30,159.4,0.127298444130127,0.0131744040150563,0.127298444130127,-0.149945594472625,0.0202626619761182,3.8573857793738,-1926,-0.607906155443088
2014-06-30,140.8,0.0839107005388757,0.0422585227272727,0.0839107005388757,0.170170149740628,0.0202626619761182,15.2113642782732,-2347,-0.483829832810916
2014-07-31,140.7,0.0831408775981519,0.0305614783226724,0.0831408775981519,0.207836534207785,0.0207772328232153,3.69682991619854,-1822,-0.37488730424477
2014-08-29,148.55,0.0323141070187631,0.010097610232245,0.0323141070187631,0.203433401041035,0.0333070442298025,6.68665225715831,-1540,-0.367285443609854
2014-09-30,144.75,0.0569550930996714,0.00863557858376507,0.0569550930996714,0.173065980406339,0.036743161963441,7.32955533821139,131,-0.341371958154342
2014-10-31,133.65,0.0178979436405178,0.0389075944631498,0.0178979436405178,0.155901245351092,0.0433468461460294,4.65616524343831,1622,-0.196143657146935
