"Dates","FC1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,137.05,0.212295444493587,0.0114921561473913,0.212295444493587,0.475205689715494,0.00914444944869433,0.284801655861059,2264,NA
2011-08-31,132.45,0.164651571774017,0.00188750471876187,0.164651571774017,0.508335991018672,0.0103961120165913,0.346313213745486,-7447,-0.224018720003444
2011-09-30,140.525,0.23159509202454,0.0170788115993596,0.23159509202454,0.278909346847669,0.0102691541948795,0.27629288338286,3041,-0.281837467289434
2011-10-31,140.05,0.269431225923408,0.0328454123527311,0.269431225923408,0.197747575546233,0.0105376471598152,0.195582266086749,-2901,-0.267847555403915
2011-11-30,146.025,0.323589394969408,0.0147235062489299,0.323589394969408,0.112351732964094,0.0105184459472528,0.110522348323006,-258,-0.30962589362417
2011-12-30,146.35,0.228026012166981,0.0167406901264093,0.228026012166981,0.338002535838858,0.00850022631925316,0.110208505928172,2108,-0.307044335236746
2012-01-31,155.525,0.276102564102564,0.013502652306703,0.276102564102564,0.190115462462881,0.00850022631925316,0.0967249226962073,10882,-0.366314783193608
2012-02-29,157.225,0.2283203125,0.0187629193830499,0.2283203125,0.364765324954031,0.00848650153737071,0.0979088220362472,11508,-0.382224009771601
2012-03-30,148.825,0.144147607149722,0.00201579035780286,0.144147607149722,0.355753079726985,0.0070514346274958,0.117566870791649,-12706,-0.324234307055381
2012-04-30,149.825,0.135898407884761,0.0260303687635575,0.135898407884761,0.350639595503852,0.0070514346274958,0.117433581565135,-2610,-0.330931134360176
2012-05-31,156.8,0.188779378316907,0.00845025510204067,0.188779378316907,0.22319732074156,0.00402125609289748,0.124170317797773,-2956,-0.373178257123221
2012-06-29,151.45,0.217688442211056,0.0194783757015518,0.217688442211056,0.349577273000678,0.00393277599512359,0.139108897522469,-2016,-0.330705907216071
2012-07-31,138.625,0.011492156147392,0.0126239855725878,0.011492156147392,-0.265324047002858,0.00393277599512359,0.20672562465354,840,-0.24477416451358
2012-08-31,144.6,0.0550893834367023,0.0143499308437069,0.0550893834367023,-0.389630146841411,0.00588108028808288,0.183288589389777,-1822,-0.281459673022141
2012-09-28,143.8,0.085692714231786,0.00382475660639758,0.085692714231786,-0.509916110694756,0.00557383508480293,0.155925453471066,-3182,-0.270180428980187
2012-10-31,146.3,0.0410958904109593,0.0164046479835951,0.0410958904109593,-0.555957282475195,0.00557383508480293,0.139020671685129,-6934,-0.296731429980905
2012-11-30,145.625,0.0398072117101036,0.0192274678111588,0.0398072117101036,-0.549198073457106,0.00645738702225798,0.140966564523256,2782,-0.287536820538492
2012-12-31,151.4,0.0345063204646399,0.0189894319682959,0.0345063204646399,-0.535826564105764,0.00882288696805523,0.124241476853387,2637,-0.327851422707997
2013-01-31,146.3,-0.000341646737273438,0.0222146274777855,-0.000341646737273438,-0.380614456743001,0.00929671789418803,0.15611888106133,2513,-0.290261768004382
