"Dates","PL1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,1785.3,0.166176758769351,0.00173640284546028,0.166176758769351,-0.00225781793468184,0.030866736911199,63.7680810986024,3540,NA
2011-08-31,1856.2,0.177194317605277,0.00204719319038893,0.177194317605277,-0.0364193699914958,0.0326895802706199,0.65163216865184,4077,-0.459157011998653
2011-09-30,1519.4,-0.00269117164423993,0.00276424904567585,-0.00269117164423993,-1.33475883417991,0.032402076860253,1.58477505799059,-2000,-0.24632276319247
2011-10-31,1607.6,-0.0582859820748637,0.0019905449116695,-0.0582859820748637,-1.37353699644071,0.0308122078804376,0.284377361167284,639,-0.28443887858509
2011-11-30,1560.8,-0.0857008962568097,0.00365197334700151,-0.0857008962568097,-1.33631100298834,0.0308314848088879,0.180894387322961,2974,-0.254895005318946
2011-12-30,1399.7,-0.160045607297167,0.00371508180324365,-0.160045607297167,-1.01824240184454,0.0335748123115626,0.243512446127868,1180,-0.139085652516063
2012-01-31,1588.1,-0.104438053346867,0.00220389144260436,-0.104438053346867,-0.503120621072225,0.0335748123115626,0.256548607312169,3075,-0.261841763881168
2012-02-29,1692.6,-0.060136598367483,0.00271771239513185,-0.060136598367483,-0.542895474823446,0.0338529368648513,0.263396438445021,148,-0.326889131491077
2012-03-30,1638.3,-0.09446164050409,0.00354025514252587,-0.09446164050409,-0.443340000221712,0.0322455692341963,0.285115337075038,-4289,-0.275722433090671
2012-04-30,1571.9,-0.157384079335299,0.00254469113811306,-0.157384079335299,-0.256317931208301,0.0322455692341963,0.341898950147659,424,-0.234348392998646
2012-05-31,1417.6,-0.240096488876976,0.00310383747178333,-0.240096488876976,-0.101217290406405,0.0373580101440359,0.600136995230147,7819,-0.0968725430861475
2012-06-29,1449.1,-0.209869138495093,0.00227727555034174,-0.209869138495093,-0.188874258374503,0.0383127276095095,0.55048776644995,82,-0.111750100767885
2012-07-31,1416.9,-0.206351873634683,0.00225845154915638,-0.206351873634683,-0.165810844260179,0.0383127276095095,0.564633817055778,3006,-0.0411507274433288
2012-08-31,1537.3,-0.138912227636812,0.00214662069862737,-0.138912227636812,-0.277046359757895,0.0421340454872766,0.486529551236123,2455,-0.0677644839757696
2012-09-28,1665.3,-0.10284452106454,0.00240196961508432,-0.10284452106454,-0.287196096650742,0.041869150501665,0.424184914825681,5234,-0.137344631833558
