"Dates","RR1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,16.115,0.708907741251326,0.0201675457648156,0.708907741251326,-0.258571701390824,0.0435371244975114,18.4143426736218,-16,NA
2011-08-31,17.68,0.675035528185694,0.0149886877828054,0.675035528185694,-0.248663764288613,0.0454923366777729,3.1326317473526,345,-0.644821215075883
2011-09-30,15.95,0.438881371222372,0.0194357366771161,0.438881371222372,-0.113575965409099,0.0494133565141861,21.7104667304756,-264,-0.526542084659194
2011-10-31,16.64,0.153552859618717,0.0162259615384615,0.153552859618717,0.0418454979456719,0.0482033928298672,6.13704278586217,77,-0.546234168032918
2011-11-30,14.835,0.0284228769497399,0.0198854061341422,0.0284228769497399,0.12085252409887,0.0482721142449612,1.16603178198826,1104,-0.43141398638264
2011-12-30,14.605,0.0522334293948126,0.0178021225607667,0.0522334293948126,0.0777839488471007,0.050173710609581,1.23605388614743,-3633,-0.40118177107278
2012-01-31,14,0.000357270453733571,0.0196428571428571,0.000357270453733571,0.182158942383179,0.050173710609581,0.83204321903999,-110,-0.349284736498193
2012-02-29,14.205,-0.0841392649903289,0.0179514255543822,-0.0841392649903289,0.307549673551911,0.0502129247691751,0.941353125242682,-19,-0.358243361207539
2012-03-30,14.765,0.0660649819494581,0.0182864883169658,0.0660649819494581,0.169081198410007,0.0505328898069271,0.818824201975537,904,-0.360439296933505
2012-04-30,14.865,0.00405268490374877,0.0178271106626304,0.00405268490374877,0.305319632398187,0.0505328898069271,0.810182404604455,-1667,-0.36718923818768
2012-05-31,14.225,-0.0391759540695711,0.0186291739894553,-0.0391759540695711,0.419432328660027,0.0505889501848196,0.930269373888913,426,-0.286988338106183
2012-06-29,14.19,-0.0577689243027888,0.0211416490486258,-0.0577689243027888,0.476375914204439,0.0505288006998609,0.938813292584534,-1289,-0.279105690551955
2012-07-31,15.615,-0.0310269934843311,0.0179314761447327,-0.0310269934843311,-0.0592859637535465,0.0505288006998609,0.680754364864338,288,-0.322408683196575
2012-08-31,15.01,-0.0685696556003721,0.0183211192538308,-0.0685696556003721,0.0505056303831523,0.0440752978438591,1.173386212148,-250,-0.23059578786749
2012-09-28,15.475,-0.124717194570136,0.0203554119547658,-0.124717194570136,-0.0726605679835682,0.0457385771489672,1.04989388716058,1598,-0.249297078393592
2012-10-31,14.83,-0.0702194357366772,0.0209035738368173,-0.0702194357366772,0.0299160504721663,0.0457385771489672,1.59962918830393,-1032,-0.0921692077681242
2012-11-30,15.27,-0.0823317307692307,0.0206286836935168,-0.0823317307692307,0.0495462042884484,0.0415483521020709,1.33182686246453,703,-0.0706728587014743
2012-12-31,14.86,0.0174597740499827,0.0211978465679679,0.0174597740499827,0.674644001464859,0.0377937148853524,2.78570796204139,-342,0.0344761958676159
2013-01-31,15.505,0.0616227319411158,0.0209609803289261,0.0616227319411158,0.50119749383663,0.0371164963050454,1.14594786113147,541,-0.00203615485524674
2013-02-28,15.5,0.107142857142857,0.0180645161290323,0.107142857142857,0.487733271000502,0.0322755839498856,0.887599626312101,-1747,0.025112141675134
2013-03-29,15.36,0.0813093980992612,0.0188802083333335,0.0813093980992612,0.594877738466203,0.0292526853841916,0.920739755642597,1717,0.101713960276259
2013-04-30,14.855,0.00609549610565541,0.0168293503870751,0.00609549610565541,0.858871106796677,0.0256918887728016,0.718125235983402,-3025,0.144365984147495
2013-05-31,15.295,0.0289270097544567,0.0127492644655116,0.0289270097544567,0.723349413325148,0.0230470786898013,0.678817440196999,-241,0.111777381892302
2013-06-28,15.74,0.106502636203867,-0.00952986022871671,0.106502636203867,0.578700192727526,0.0230470786898013,0.522544548090597,-1774,0.10351637663403
2013-07-31,15.825,0.115221987315011,0.0132701421800949,0.115221987315011,0.543932554267326,0.0230470786898013,0.330180564768675,1141,0.0808108020803826
2013-08-30,15.805,0.0121677873839257,-0.00347991142043658,0.0121677873839257,-0.118474527659537,0.046155608613663,0.331238511316064,-1580,0.0710074050048993
2013-09-30,15.13,-0.022294022617124,0.0138797091870455,-0.022294022617124,-0.0111933191039002,0.046155608613663,0.414294285744756,579,0.109573373973067
2013-10-31,15.025,-0.0290791599353794,0.00532445923460889,-0.0290791599353794,0.0282418218624687,0.0459365051038245,1.23723101277302,-990,0.0638583333795328
2013-11-29,15.96,0.0761968981793661,0.0115914786967417,0.0761968981793661,0.124599163441119,0.0102774236951147,0.785321029705358,-447,-0.0413784278173575
2013-12-31,15.51,0.0157170923379173,-0.0151515151515151,0.0157170923379173,0.381537236744301,0.0102774236951147,0.73735259988934,-1475,-0.047897838113792
2014-01-31,15.4,0.036339165545088,0.00097402597402585,0.036339165545088,0.343830977269381,0.010269749336829,0.810360871585421,598,-0.0748882657451281
2014-02-28,15.375,-0.00838439213157027,0.016910569105691,-0.00838439213157027,0.56079767136693,0.0101321587312477,2.45841554550929,6,-0.0867157813622927
2014-03-31,15.6,0.0156250000000002,0.00384615384615383,0.0156250000000002,0.353736351058212,0.0106300642232975,0.613325724314814,681,-0.133559569972754
2014-04-30,15.615,0.0166015625000002,-0.00384245917387127,0.0166015625000002,0.37750197878284,0.0107486595467135,0.99121750992276,-215,-0.160410120279881
2014-05-30,14.985,0.00875126220127931,-0.0407073740407073,0.00875126220127931,0.298616520444629,0.012039542964353,1.67614547721167,78,-0.117032566578009
2014-06-30,14.54,-0.0762388818297333,-0.0667125171939477,-0.0762388818297333,0.799015381625371,0.012039542964353,7.31372387557239,347,-0.0868863379147559
2014-07-31,12.985,-0.175031766200762,0.0173276857912978,-0.175031766200762,-0.482050684673019,0.013623672403046,0.462295895840898,779,0.0365154686587861
2014-08-29,12.585,-0.204739336492891,0.00635677393722678,-0.204739336492891,-0.306456334894563,0.0252244425770376,0.396209164590354,-490,0.0743728026637443
2014-09-30,12.745,-0.193609617209744,0.0117693213024717,-0.193609617209744,-0.339572424081668,0.0241998304128159,0.244374424408184,2206,0.0617393934229448
2014-10-31,12.005,-0.206543291473893,0.0233236151603498,-0.206543291473893,-0.297285742190702,0.0266343030467122,0.260103438609897,-1017,0.11359868286036
2014-11-28,12.335,-0.179034941763727,0.0210782326712606,-0.179034941763727,-0.347209996386555,0.0266343030467122,0.23956747576906,-169,0.0898784964886479
2014-12-31,11.49,-0.280075187969925,0.0226283724978242,-0.280075187969925,-0.582819991260934,0.0266343030467122,0.270434753343474,-833,0.133246823786238
2015-01-30,10.57,-0.318504190844616,0.0255439924314096,-0.318504190844616,-0.385537053025465,0.0255998650066703,0.214839975257525,1232,0.20684079624377
2015-02-27,10.47,-0.32012987012987,0.0262655205348614,-0.32012987012987,-0.379136225516397,0.0255998650066703,0.236763115648064,-901,0.211422790755547
2015-03-31,10.875,-0.292682926829268,0.0216091954022988,-0.292682926829268,-0.240808546034298,0.0255998650066703,0.221611636682281,-33,0.154620444423224
2015-04-30,10.03,-0.357051282051282,0.0264207377866401,-0.357051282051282,0.0322347985240117,0.026693345883931,0.18654430798897,1541,0.242210557598029
2015-05-29,9.51,-0.390970220941402,0.0289169295478444,-0.390970220941402,0.25028890157606,0.0289944563401937,0.163520627310877,1174,0.285082745496766
2015-06-30,10.165,-0.321654988321655,0.0285292670929662,-0.321654988321655,0.312283948808675,0.0267329764688701,0.244121666763401,-2357,0.209042298881013
2015-07-31,11.515,-0.208046767537826,0.0225792444637429,-0.208046767537826,0.60352999149703,0.0103235399222309,0.563205054192267,-771,0.0892523147836073
2015-08-31,11.88,-0.0560190703218113,0.0235690235690236,-0.0560190703218113,0.434773612026092,0.00702909729094366,0.353339780768346,1379,0.0608226612269247
2015-09-30,13.2,0.0488676996424318,0.021969696969697,0.0488676996424318,0.30099031860634,-0.0117040027322649,0.823008120881104,1318,-0.0445378544309016
2015-10-30,11.61,-0.0890545311887013,0.024547803617571,-0.0890545311887013,0.266611680772338,-0.0117624407975549,0.457975916041744,775,0.107594155183764
2015-11-30,11.905,-0.0348601540332388,0.022259554808904,-0.0348601540332388,0.147831069380597,-0.0117624407975549,0.639722334652,382,0.0861943930154287
2015-12-31,11.565,-0.0624239967571951,0.0233463035019457,-0.0624239967571951,0.227405554015534,-0.00902399477725386,0.47121805481345,1132,0.140532336723618
2016-01-29,11.35,-0.0121845082680593,0.0246696035242291,-0.0121845082680593,0.15962112415312,-0.0110584930416378,0.487846176299155,-858,0.197205161371024
2016-02-29,10.495,0.00238777459407813,0.0276322058122918,0.00238777459407813,0.124087239521835,-0.0200469186031658,0.321473040013474,-685,0.295039409543691
2016-03-31,9.69,-0.0744985673352437,0.0283797729618163,-0.0744985673352437,0.251447676785521,-0.0180997230335187,0.27902537869118,891,0.419913948767695
2016-04-29,10.84,-0.00321839080459785,0.0253690036900369,-0.00321839080459785,0.215840162571958,-0.0246609097923267,0.454484192030881,-3104,0.320017977247549
2016-05-31,10.94,0.15036803364879,0.0228519195612431,0.15036803364879,-0.041391400914996,-0.0246609097923267,0.531784962560755,-292,0.321708422977366
2016-06-30,10.505,0.104626708727655,0.0133269871489765,0.104626708727655,0.079331236299171,-0.0259997358025744,0.373010505771339,-436,0.365971471787407
2016-07-29,9.94,-0.0221347761928187,0.0276659959758552,-0.0221347761928187,0.337795654082139,-0.0300702274804057,0.326889806244673,1652,0.427575228333372
2016-08-31,9.195,-0.201476335214937,0.0255573681348558,-0.201476335214937,0.533160042236532,-0.0300702274804057,0.280251793517214,-195,0.492539226259154
2016-09-30,9.885,-0.167929292929294,0.0242792109256449,-0.167929292929294,0.456395463367177,-0.0238719261062595,0.352275182971851,508,0.424847277327778
2016-10-31,9.855,-0.151162790697675,0.0299340436326738,-0.151162790697675,0.739855539711782,-0.0201904982782216,0.388344973419199,-817,0.434439759649595
2016-11-30,9.705,-0.164082687338501,0.0257599175682637,-0.164082687338501,0.789999961077545,-0.018833460957006,0.312061814691207,1883,0.449777483633305
2016-12-30,9.355,-0.214195716085678,0.0272581507215393,-0.214195716085678,1.0230956745758,-0.0165548014106342,0.288913323321929,-827,0.477050239582784
2017-01-31,9.535,-0.159911894273128,0.0272679601468275,-0.159911894273128,0.77140456865425,-0.0165548014106342,0.323438143759308,83,0.461792902651849
2017-02-28,9.285,-0.18193832599119,0.0301561658589122,-0.18193832599119,0.854341688639187,-0.0169219180546474,0.309745521246281,226,0.488361946899562
