"Dates","PA1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,827.7,0.862511251125112,0.0017518424549956,0.862511251125112,0.110575434751219,-0.0142828073764145,0.521688087036602,5341,NA
2011-08-31,788.1,0.5762,0.00298185509453108,0.5762,0.337651256759633,-0.0125914598101627,0.287883982701923,-4638,-0.860593539727992
2011-09-30,614.55,0.228117505995204,0.00154584655438939,0.228117505995204,-0.683028802429372,-0.0165932902923017,0.4252470721751,-1702,-0.596298028561278
2011-10-31,651.15,0.00937839094713966,0.00230361667818468,0.00937839094713966,-0.789268469890694,-0.0177074978411804,0.19589653203827,198,-0.654474464829576
2011-11-30,610,-0.0544101689660521,0.00426229508196729,-0.0544101689660521,-0.649437618977469,-0.0176638948089873,0.199699352184116,1336,-0.58919339158322
2011-12-30,656.15,-0.0639132605749341,0.00220986055017924,-0.0639132605749341,-0.664363910428087,-0.0174657067931175,0.189714748084631,-2436,-0.650634460833265
2012-01-31,686.35,-0.145586953815511,0.00247687040139866,-0.145586953815511,-1.13241139160212,-0.0174657067931175,0.181671573372834,1583,-0.685927617940983
2012-02-29,706.65,-0.138336788196561,0.00247647350173352,-0.138336788196561,-1.13816107345043,-0.0173680573413972,0.178308569045672,2522,-0.708225261224539
2012-03-30,654.1,-0.179966150567291,0.00244610915762111,-0.179966150567291,-0.976211032053345,-0.0183069029185111,0.197447230012637,-1462,-0.624779621324681
2012-04-30,682.35,-0.138610111721264,0.00271121858283885,-0.138610111721264,-1.00743598485321,-0.0183069029185111,0.203670438492214,1178,-0.667062099041636
2012-05-31,612.1,-0.227292810705043,0.00294069596471158,-0.227292810705043,-0.785135316572849,-0.0088949850279523,0.251158488673697,1501,-0.547490112211328
2012-06-29,584.55,-0.249566724436742,0.00213839705756569,-0.249566724436742,-0.70857539468928,-0.00824024660781147,0.267036049774803,-443,-0.495642431070651
2012-07-31,590.55,-0.286516853932584,0.00313267293201247,-0.286516853932584,-0.778785496494519,-0.00824024660781147,0.280113567904817,1004,-0.489123267542489
2012-08-31,627.95,-0.241331400265796,0.00230910104307647,-0.241331400265796,-0.857736571380733,-0.00333812488174669,0.278218567438441,-4161,-0.502542361200072
2012-09-28,640.8,-0.186905215074229,0.00195068664169784,-0.186905215074229,-1.01612139588938,-0.00623967330740427,0.296366822157257,237,-0.516500856166193
2012-10-31,609.8,-0.00772923277194681,0.00262381108560183,-0.00772923277194681,-0.352753031286952,-0.00623967330740427,0.357807582430493,979,-0.440427926198083
2012-11-30,686.25,0.0539046302695239,0.00284153005464494,0.0539046302695239,-0.0256914528801979,-0.0129249390156552,0.319861726211303,2278,-0.546656823698377
2012-12-31,703.35,0.0719347710127265,0.00184829743370996,0.0719347710127265,-0.0972501533255046,-0.00551080131049328,0.346344907876741,5501,-0.545282145482222
2013-01-31,745.7,0.136477939495543,0.00187743060211876,0.136477939495543,-0.227334283268389,-0.00671313585009459,0.368428991251914,7627,-0.608330264600858
2013-02-28,732.6,0.0673854447439357,0.0026617526617525,0.0673854447439357,-0.0361898105255662,-0.0097222416097602,0.405516488832373,-570,-0.582640225409361
2013-03-29,768.25,0.0871718672610207,0.00182232346241462,0.0871718672610207,-0.0804346149335504,-0.0157847875137544,0.378864213649324,3609,-0.624074240490068
2013-04-30,697.8,0.066809356367528,0.00272284322155358,0.066809356367528,-0.13513270935266,-0.00834001767268536,0.534005674554974,-3005,-0.571105844328804
