"Dates","C_1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,665.5,0.878616796047988,0.00488354620586029,0.878616796047988,-0.549028478515236,0.0353987474973099,3.24858440494336,-9401,NA
2011-08-31,757.5,0.92870782940802,0.0132013201320131,0.92870782940802,-0.556505907164873,0.0373612218872773,0.858451072442516,19793,-0.941810355549323
2011-09-30,592.5,0.395759717314488,0.0223628691983122,0.395759717314488,-0.535009588634564,0.0392049601775824,1.70989008867073,-26573,-0.658694012146556
2011-10-31,647,0.111683848797251,0.01854714064915,0.111683848797251,-0.513316480373171,0.0371941694427514,0.901339576129312,21487,-0.696243158265073
2011-11-30,601.25,0.0330756013745703,0.0112266112266113,0.0330756013745703,-0.381996074254748,0.0372490965231853,0.549423535768059,-69179,-0.622907685184144
2011-12-30,646.5,0.219811320754717,0.0127610208816706,0.219811320754717,-0.649738964431961,0.0423446802065982,0.502606185989172,-3115,-0.661238610439905
2012-01-31,639,0.0158982511923687,0.00978090766823159,0.0158982511923687,-0.761454172504681,0.0423446802065982,0.538612437950537,84515,-0.62898115565939
2012-02-29,656.5,-0.00454890068233527,0.00228484386900218,-0.00454890068233527,-0.734616533557749,0.0423925198068234,0.460300769890477,36187,-0.631432998265868
2012-03-30,644,-0.108650519031142,-0.00116459627329191,-0.108650519031142,-0.626628190265123,0.0416301628160631,0.473043294401116,66259,-0.56500847264719
2012-04-30,660.25,-0.124336870026525,-0.0393790230973117,-0.124336870026525,-0.661797106449923,0.0416301628160631,0.53607462634229,-106318,-0.589928297720078
2012-05-31,555.25,-0.263594164456234,-0.0535794687077893,-0.263594164456234,-0.457527847264824,0.0516035871661909,0.882709579190502,-46969,-0.40145556279671
2012-06-29,672.5,-0.100334448160535,-0.0654275092936804,-0.100334448160535,-0.191569680022563,0.0491837901754965,0.655021411844329,-156866,-0.594238661103296
2012-07-31,806.5,0.211870773854244,-0.00154990700557966,0.211870773854244,-0.274238815072545,0.0491837901754965,0.384208102820324,162228,-0.736268858992095
2012-08-31,802.75,0.206235912847482,-0.00373715353472437,0.206235912847482,-0.238897966571673,0.0450682881399384,0.375768756057209,-16076,-0.703719605551511
2012-09-28,756.25,-0.00165016501650206,0.00429752066115707,-0.00165016501650206,-0.00347818398133435,0.0452496187115059,0.385399579905237,26049,-0.649961040686132
2012-10-31,755.75,0.275527426160337,0.00165398610651679,0.275527426160337,0.343740805796521,0.0452496187115059,0.433623418517621,86830,-0.574581281931008
2012-11-30,748,0.156105100463678,0.00635026737967914,0.156105100463678,0.551494852670204,0.0439078398049089,0.439539710852758,-64689,-0.521578415542252
2012-12-31,698.25,0.0800464037122965,0.00286430361618328,0.0800464037122965,0.668172495422538,0.0495310398167135,0.539676026896098,-93993,-0.371844058832021
2013-01-31,740.5,0.145398298530549,0.00202565833896018,0.145398298530549,0.587139898152119,0.0459667063397828,0.411870071899697,144891,-0.413784037858901
2013-02-28,719.5,0.125978090766823,-0.0222376650451702,0.125978090766823,0.609611437540823,0.0382294045571579,0.457473279613218,-59768,-0.357510860246807
2013-03-29,695.25,0.0590251332825591,-0.027687882056814,0.0590251332825591,0.717115251905373,0.0369666743290863,0.480398704641958,144883,-0.257765655512301
2013-04-30,683.25,0.0609472049689439,-0.048664471276985,0.0609472049689439,0.714504822099493,0.0356998186888324,0.42938556865258,-201846,-0.248104906562234
2013-05-31,662,0.00265051117001147,-0.097809667673716,0.00265051117001147,0.818005038971883,0.0348924218592957,0.482254809367667,36617,-0.239515514183641
2013-06-28,679.25,0.223322827555156,-0.194331983805668,0.223322827555156,1.25254738355801,0.0348924218592957,0.453302709421426,-98254,-0.24364112006308
2013-07-31,499,-0.257992565055762,-0.0400801603206413,-0.257992565055762,-0.347462010088209,0.0348924218592957,0.964252583492761,70178,0.0351391597070944
2013-08-30,495,-0.386236825790452,-0.0262626262626262,-0.386236825790452,-1.90954927241339,0.0618265788324053,0.981432791493945,-96164,0.0205336548793358
2013-09-30,441.5,-0.416198347107438,0.0294450736126841,-0.416198347107438,-1.5288263766727,0.0618265788324053,1.71174502097528,101721,0.128173064657011
