"Dates","HO1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,309.62,0.562395922692638,0.00103352496608733,0.562395922692638,-0.289232253559654,0.0609232613047199,10.7221645388937,444,NA
2011-08-31,307.82,0.506927106280903,0.00188421804950933,0.506927106280903,-0.164668755216702,0.0637761561288166,2.35145752504411,6671,-0.530117593446997
2011-09-30,279.48,0.401323706377859,-0.00554601402604837,0.401323706377859,-0.388242514289971,0.065307735483405,6.08578411414267,20306,-0.426450354692461
2011-10-31,304.29,0.370613936309175,0.00506096158270064,0.370613936309175,-0.686933826277457,0.062962204170753,1.459399605788,-35476,-0.517763728301235
2011-11-30,302.14,0.360929687851898,0.00122459786853768,0.360929687851898,-0.585297420433751,0.0629741349311095,0.326570364316743,-23385,-0.5106730203608
2011-12-30,293.5,0.26677888557987,-0.00708688245315159,0.26677888557987,-0.34925916931125,0.0675382398265348,0.343496868867611,-1176,-0.475696648220011
2012-01-31,306.28,0.204072807327908,-0.00388533368159849,0.204072807327908,-0.402571933128591,0.0675382398265348,0.235731306686946,5809,-0.512607884339646
2012-02-29,318.8,0.160623270715014,0.00561480552070259,0.160623270715014,-0.421178421661157,0.0676646565166661,0.172251081867867,12401,-0.55875485584166
2012-03-30,316.84,0.0829174926515825,0.000536548415604132,0.0829174926515825,-0.262485682847705,0.0662472985238159,0.174335147876369,-5225,-0.52369849212623
2012-04-30,318.34,-0.022237238159592,0.000251303637620381,-0.022237238159592,-0.0121811240208079,0.0662472985238159,0.183900740547879,20616,-0.528421571531859
2012-05-31,270.62,-0.168806437741876,-0.00110856551622207,-0.168806437741876,-0.459949225769631,0.0734434069421827,0.260396506915006,15800,-0.303506562539694
2012-06-29,269.6,-0.117887641919968,0.00515578635014835,-0.117887641919968,-0.65669635704429,0.0755371391568793,0.26258746488961,190,-0.292064394079056
2012-07-31,284.17,-0.0821975324591435,0.00221698279199067,-0.0821975324591435,-0.75783192498347,0.0755371391568793,0.260055789950524,-15504,-0.286516061928384
2012-08-31,316.96,0.0237064789096311,0.00334427057041897,0.0237064789096311,-0.523543379915132,0.0785950892672176,0.245828534794036,25766,-0.353883054110981
2012-09-28,316.94,0.0296277045026319,-0.00321827475231895,0.0296277045026319,-0.541881068653293,0.0784082403184324,0.242278210086771,-7811,-0.337307654162854
2012-10-31,306.82,0.0978245312723631,-0.00192295156769429,0.0978245312723631,-0.63884802723344,0.0784082403184324,0.299673412047763,-24553,-0.236357690412594
2012-11-30,304.13,-0.000525814190410312,0.00637885114917958,-0.000525814190410312,-0.620910473026341,0.0755159185683994,0.305660131079373,4352,-0.173579725969766
2012-12-31,304.51,0.0375127768313464,-0.00436767265442839,0.0375127768313464,-0.745284069647538,0.0851992860268813,0.316771068136248,-38182,-0.0951377865338028
2013-01-31,312.98,0.0663713798977859,-0.00354655249536717,0.0663713798977859,-0.847524515682572,0.0849401965474996,0.246298364295928,51163,-0.104131297448391
2013-02-28,297.19,-0.0296787253493533,-0.00390322689188738,-0.0296787253493533,-0.563471586947795,0.0773474293418449,0.312006108141108,-24530,-0.0313041303114151
2013-03-29,291.52,-0.0855708908406525,0.0452113062568607,-0.0855708908406525,-0.410264083425337,0.0759283085043817,0.327683161376905,-5673,0.0426813565422343
